	d4Lin-_1	d4Lin-_2
209780_at	513.6701543676	687.676836158
209781_s_at	135.4684263562	105.1550311893
209782_s_at	56.8586413595	57.510829797
209783_at	40.181850137	48.1889239361
209784_s_at	102.4057857882	122.4791628736
209785_s_at	33.2600761566	33.8790899124
209786_at	922.2048666808	883.6691503085
209787_s_at	1354.1585366126	1363.2278279769
209788_s_at	282.2062960659	324.8921083049
209789_at	15.4704632239	19.2046099779
209790_s_at	592.4394765293	526.6600768761
209791_at	72.2002727458	118.974002743
209792_s_at	28.7903629901	34.1547355075
209793_at	18.9569412372	19.0324894213
209794_at	104.888221629	106.8701667778
209795_at	647.7702774926	2002.1275821728
209796_s_at	345.1713679376	292.5046695237
209797_at	401.8514538009	363.7956850255
209798_at	718.2033013132	846.5335634435
209799_at	106.5137703804	95.8040241754
209800_at	32.0693005016	37.1476345246
209802_at	46.0941960729	48.6620130431
209803_s_at	50.2652011546	37.0681854873
209804_at	170.2877267961	248.9199584317
209805_at	177.5687185711	210.544036325
209806_at	334.1163555055	614.9800008116
209807_s_at	54.0539612298	62.0858405565
209808_x_at	97.2106273454	134.0845445502
209810_at	58.353358275	57.1341084665
209811_at	57.3681006747	68.8860991602
209812_x_at	49.9382360556	49.5496181848
209813_x_at	93.1028309062	130.6346878271
209814_at	1370.678034248	2106.7196375777
209815_at	19.4790011946	28.0230156733
209816_at	15.6042429881	18.8542308111
209817_at	173.7543752592	156.4953763592
209818_s_at	132.8382341612	169.815198493
209819_at	14.3454477	13.8174188728
209820_s_at	250.4187530747	278.2342436516
209821_at	13.9166028664	13.9581006964
209822_s_at	19.7658463122	19.1579804029
209823_x_at	105.7118145743	201.2174786346
209824_s_at	153.6318758605	173.3547535834
209825_s_at	284.9291883327	284.0196530946
209826_at	176.2781588667	155.9628464608
209827_s_at	150.8491517593	116.5412791489
209828_s_at	109.1899746415	107.6101267971
209829_at	175.9504966442	135.5661369728
209830_s_at	19.923151091	22.2206730252
209831_x_at	224.5338986906	232.7329193135
209832_s_at	267.9854113196	217.2454059121
209833_at	186.2282998991	141.750083751
209834_at	40.4279596795	35.4791661606
209835_x_at	109.0513734838	86.9227698205
209836_x_at	681.9361284397	756.0035999035
209837_at	67.9620663755	49.9397620814
209838_at	129.8020072467	118.6016043369
209839_at	77.0602217273	664.9080771727
209840_s_at	19.5858278421	18.494712569
209841_s_at	21.8041131519	17.837656653
209842_at	36.6590441928	38.0889138373
209843_s_at	55.1133433194	63.2386487494
209844_at	36.6721443704	40.8663285077
209845_at	323.6982999411	456.0126181842
209846_s_at	218.9230846836	151.6231691188
209847_at	17.2170364627	18.3943213031
209848_s_at	65.1572812026	71.8386951576
209849_s_at	561.6309152641	475.1329701475
209850_s_at	172.0346244475	176.9968329801
209851_at	45.7999726052	47.9664470766
209852_x_at	544.5532352972	650.9869926572
209853_s_at	241.7065892138	219.5463465929
209854_s_at	24.0091670028	24.2709226128
209855_s_at	86.6907335808	119.463585313
209856_x_at	111.7816084392	128.234930778
209857_s_at	100.3545697855	109.914675944
209858_x_at	428.8849463093	403.0840885169
209859_at	25.382103192	21.6601526843
209860_s_at	566.8899582414	841.5192285419
209861_s_at	1000.6136417392	724.1937127695
209862_s_at	154.2988273354	168.7720328462
209863_s_at	19.0454898033	18.4717860061
209864_at	204.2731086108	173.4040462177
209865_at	43.3210306269	22.5941061442
209866_s_at	15.7382508899	17.4594893648
209867_s_at	21.8556728269	22.4796738888
209868_s_at	120.035770626	97.9132942151
209869_at	117.9771058976	103.0193827983
209870_s_at	245.6582236769	314.4514234953
209871_s_at	147.8268434919	131.3724438951
209872_s_at	22.7315919338	21.79697256
209873_s_at	75.4882510101	82.1331718559
209874_x_at	130.1239936623	130.2256132972
209875_s_at	35.9548795573	302.4214887974
209876_at	89.7383874848	100.1062504421
209877_at	41.7612201099	40.0809903095
209878_s_at	69.5639589661	66.6618457646
209879_at	288.187511647	433.3828434145
209880_s_at	140.6627077559	149.0000114511
209881_s_at	467.2771939417	1086.5098517203
209882_at	153.3180598676	303.7468480339
209883_at	41.2947094324	54.6254820756
209884_s_at	58.3792540997	77.2244809995
209885_at	63.9908167988	54.3298816164
209886_s_at	64.9959951564	77.0490667796
209887_at	27.0506170939	22.6674280013
209888_s_at	27.4976609313	30.1021372806
209889_at	147.2833887061	170.4054745774
209890_at	152.2785715903	203.9745427769
209891_at	292.2255947832	233.7836032846
209892_at	356.075250769	331.4261195635
209893_s_at	155.0157031459	183.9302631
209894_at	124.7484088639	154.9313049057
209895_at	94.2641159718	133.7029066435
209896_s_at	418.8045533982	810.2263924023
209897_s_at	21.2519786927	19.503920067
209898_x_at	1105.3369448393	1214.9839472788
209899_s_at	493.7199456551	483.0237027564
209900_s_at	395.7614616695	498.0018590071
209901_x_at	397.1887180349	804.0861181678
209902_at	230.8084620821	261.9517368321
209903_s_at	752.1873293533	844.3369406158
209904_at	21.2243372037	22.0002111214
209905_at	2697.3913819018	2252.3752852377
209906_at	140.5610229537	156.295995003
209907_s_at	214.0409120429	240.0128865492
209908_s_at	14.3159123993	16.0747666611
209909_s_at	12.6507356695	12.3675116229
209910_at	20.8360933306	21.1294824942
209911_x_at	117.5101395051	176.5877074217
209912_s_at	144.0042345235	202.3737928748
209913_x_at	170.4824913519	159.5619787467
209914_s_at	35.2454467064	27.998398132
209915_s_at	15.4012331608	14.8337103245
209916_at	315.7518944789	268.1321206052
209917_s_at	57.4419418042	50.8385489795
209918_at	63.1229794455	71.0423579579
209919_x_at	96.5267326358	108.689985829
209920_at	68.3877095645	52.9735902975
209921_at	122.6141763535	215.0091775099
209922_at	37.4770923812	32.1332603306
209923_s_at	243.1301794589	318.3639192918
209924_at	41.4164002578	44.9992657274
209925_at	17.8551426508	16.4112067923
209926_at	145.7135159544	186.9860296689
209927_s_at	140.8501075791	128.8183444583
209928_s_at	56.0068029004	76.9142789918
209929_s_at	257.5110763592	347.6945689813
209930_s_at	528.8165693357	711.6421414014
209931_s_at	48.2145467087	65.8229790667
209932_s_at	3390.4500995964	4085.6417542017
209933_s_at	226.5094756593	517.6502390717
209934_s_at	181.7168244155	394.7840140389
209935_at	324.3277369314	575.3065639739
209936_at	22.0163888785	21.5210407046
209937_at	36.212229761	34.1613013846
209938_at	104.6746422167	90.5824581191
209939_x_at	359.7722163956	367.4080284959
209940_at	70.3559088582	54.9421060589
209941_at	162.6246483303	155.3136578032
209942_x_at	18.2265787006	15.9149048863
209943_at	87.5617186428	76.280382364
209944_at	1116.2914200025	1633.8584692113
209945_s_at	208.7271352739	298.4646327266
209946_at	25.1874910543	37.6484867825
209947_at	119.8903611268	142.1761034077
209948_at	52.5806414176	65.4275142282
209949_at	53.5433140615	270.461566052
209950_s_at	118.1897765225	103.8314829326
209951_s_at	24.0762994401	31.2584689238
209952_s_at	26.9824136811	29.3765279097
209953_s_at	247.3584601549	264.5425192589
209954_x_at	90.8845654329	104.8011425881
209955_s_at	17.4458152981	23.3929514377
209956_s_at	15.166007953	14.8624530537
209957_s_at	111.6397240435	129.0317946169
209958_s_at	54.5092012521	55.0820615465
209959_at	166.2426334745	111.7811926557
209960_at	54.6333720455	37.0524643013
209961_s_at	31.3946710795	28.465875665
209962_at	104.5979726741	124.2229282319
209963_s_at	87.2348488946	103.7603732773
209964_s_at	81.8363456232	80.2790986446
209965_s_at	141.1347969434	132.3020506904
209966_x_at	18.4534068296	20.7304975561
209967_s_at	73.2992371981	81.6348610957
209968_s_at	33.8020337765	42.6017921886
209969_s_at	274.0613349826	314.3909902278
209970_x_at	102.5807239207	197.3408608133
209971_x_at	1934.5752512214	2111.7062736224
209972_s_at	186.5533428226	198.8755146446
209973_at	110.7855383861	150.2326752794
209974_s_at	2884.9850526522	3059.907302002
209975_at	34.2104185231	25.5257862205
209976_s_at	22.4480108872	25.9656145428
209977_at	23.7256390373	21.562788068
209978_s_at	29.9032716369	23.7626072601
209979_at	108.1671346522	103.860069777
209980_s_at	87.7540867029	81.6319868318
209981_at	61.6202651325	62.1792337253
209982_s_at	33.3160067374	33.0095536018
209983_s_at	46.2333417516	50.0645207979
209984_at	229.3892499112	256.547771768
209985_s_at	34.2352154715	33.7611032114
209986_at	30.0474954276	27.7019138118
209987_s_at	20.0288266226	16.3493916531
209988_s_at	17.6744118718	17.1909222372
209989_at	67.4613780585	71.9783442398
209990_s_at	16.1192880314	15.3011872829
209991_x_at	18.1865269499	20.8274550705
209992_at	23.0446550199	25.8504886653
209993_at	38.7404368961	42.6562323265
209994_s_at	31.5800075851	42.8403789767
209995_s_at	66.2183199363	65.8333358793
209996_x_at	113.2664692704	141.2572603496
209997_x_at	62.7336137948	70.0620184242
209998_at	138.5250761357	134.9471650835
209999_x_at	30.7665086894	40.9027776527
210000_s_at	17.0987045588	15.9684760148
210001_s_at	31.3122301662	29.3774288632
210002_at	15.082447388	13.5392522405
210004_at	14.0105452482	16.2613912258
210005_at	87.2199295305	77.6688743418
210006_at	124.785160403	108.7371919814
210007_s_at	33.7006244125	39.8356721927
210008_s_at	43.0382538572	38.0894921233
210009_s_at	68.182703506	59.8441137675
210010_s_at	444.6592758501	628.4981614317
210011_s_at	303.8879997361	421.0329806388
210012_s_at	74.7511815938	56.7876167603
210013_at	53.7227786132	54.2597053959
210014_x_at	1071.2732974018	995.5156527824
210015_s_at	25.5738620381	27.4776741805
210016_at	17.419520367	15.7464053589
210017_at	64.7639371998	42.9358833027
210018_x_at	60.0084546839	49.1528432865
210019_at	40.2595233077	41.5987623613
210020_x_at	29.9748869802	32.6566438414
210021_s_at	25.3370881694	26.79869119
210022_at	129.5393552368	138.3633738555
210023_s_at	155.0436832087	145.1856900824
210024_s_at	926.7451437093	839.1184877365
210025_s_at	107.5781169862	111.7312940262
210026_s_at	26.8430594574	20.3451628516
210027_s_at	3663.6226291209	2780.6388021934
210028_s_at	320.7643127872	321.2271083655
210029_at	43.9645412659	49.5852929128
210030_at	53.9600175398	49.3529222995
210031_at	27.6066283224	26.3849962406
210032_s_at	25.5046860362	26.8060658784
210033_s_at	17.9883236696	21.8038972942
210034_s_at	73.6626154833	34.2653883456
210035_s_at	14.6623118819	13.8176746664
210036_s_at	514.9703170323	423.2535520525
210037_s_at	32.4589891671	25.5735203939
210038_at	524.378927166	758.564166964
210039_s_at	278.3817903967	313.6876238862
210040_at	31.4841148185	36.6931849931
210041_s_at	77.386118209	67.585993127
210042_s_at	49.8838749166	102.4859548618
210043_at	68.5593522966	66.2379368676
210044_s_at	1242.4390636329	1465.9008093112
210045_at	187.5405005908	207.8800415642
210046_s_at	1450.0596127927	1669.4905788571
210047_at	101.8921021927	78.474435867
210048_at	81.0310949786	85.7845791406
210049_at	25.8536007926	26.551161798
210050_at	35.7008858311	42.3505446201
210051_at	56.4984747359	61.087759946
210052_s_at	911.273194417	746.8919235427
210053_at	763.6781933559	772.9307688827
210054_at	350.4167454345	379.0450767717
210055_at	16.1469616427	16.1698730429
210056_at	83.1133529309	108.6868047658
210057_at	36.0076704779	37.5479413756
210058_at	41.1130136944	34.9371663019
210059_s_at	27.685096093	28.0797647374
210060_at	157.0223712217	201.8696777846
210061_at	32.1181697095	34.0391181283
210062_s_at	30.8336512287	25.3181853683
210063_at	65.5056503962	50.9954603609
210064_s_at	30.095766908	29.2913467622
210065_s_at	31.947870607	31.2905433122
210066_s_at	12.7389710203	11.5596319324
210067_at	13.3445239309	13.4189851429
210068_s_at	19.2228014424	17.5332064829
210069_at	266.2907003553	230.0294258697
210070_s_at	111.5025019061	112.4904603852
210072_at	19.9687298686	22.1621842611
210073_at	19.7646462424	15.4881177182
210074_at	55.3888985521	97.0086670073
210075_at	54.5269283446	93.4878859245
210076_x_at	261.6052969905	287.826997658
210077_s_at	41.3249287899	33.7995836542
210078_s_at	14.2978270011	13.3820857466
210079_x_at	31.864208889	26.273879628
210080_x_at	23.6506261375	21.8433055434
210081_at	49.9992325562	54.1557801696
210082_at	34.249661792	51.6018452656
210083_at	69.182873063	71.0288737403
210084_x_at	386.0139554583	378.0409985212
210085_s_at	66.8044478331	84.5004737909
210086_at	75.0444975171	83.1365706389
210087_s_at	47.0430872425	44.7555449884
210088_x_at	553.2628026667	926.9044106831
210089_s_at	22.0479506836	24.5368306641
210090_at	23.927612152	22.6003046993
210091_s_at	24.045111342	28.8294907125
210092_at	389.4005676342	433.5351902435
210093_s_at	899.7647034757	913.6381171989
210094_s_at	115.1678258111	287.6467517634
210095_s_at	37.5244059824	30.3692665852
210096_at	17.7236719933	17.410928213
210097_s_at	3204.1670496292	2021.7970674434
210098_s_at	131.9044451234	79.5907545068
210099_at	39.6552840287	41.0451227455
210100_s_at	70.3537723946	50.8714173027
210101_x_at	327.8952416794	303.935854496
210102_at	448.3365839399	791.2696265931
210103_s_at	23.4650122703	27.3932165275
210104_at	175.8538540223	156.6579102356
210105_s_at	476.6641463633	952.4188990717
210106_at	79.2924882225	77.1187964946
210107_at	37.8377487079	40.2424338886
210108_at	14.4585868042	17.169304532
210109_at	166.8280054571	166.1547066689
210110_x_at	1055.4235984073	1489.9405184101
210111_s_at	701.5843795738	868.9852737392
210112_at	189.4120917778	188.388824938
210113_s_at	84.8781356907	57.7173550659
210114_at	156.7716387867	153.1204128831
210115_at	60.0777270237	54.8082997734
210116_at	23.2970121403	21.4567865066
210117_at	17.5795996967	17.3961617843
210118_s_at	17.6301709829	17.4576151354
210119_at	14.2195750972	17.6541350382
210120_s_at	108.819997673	127.5692350172
210121_at	12.0457593485	13.874549772
210122_at	34.7772327541	35.6263935463
210123_s_at	89.7824877465	67.9469878482
210124_x_at	133.3482506625	112.2542602016
210125_s_at	1689.6226257423	2498.1076115414
210126_at	73.9659250312	80.2925407076
210127_at	32.8872227545	47.780218927
210128_s_at	126.8208385665	170.2748342822
210129_s_at	98.392697871	99.1333481037
210130_s_at	283.3522791053	323.7075599692
210131_x_at	419.4509878386	773.192548202
210132_at	106.0705194821	118.5590489016
210133_at	17.6985686649	19.9512973864
210134_x_at	31.9819644653	34.719774886
210135_s_at	13.4408819379	14.5818583604
210136_at	600.6639643865	978.4145395654
210137_s_at	526.5491614002	600.9478148622
210138_at	14.053775787	16.8250197145
210139_s_at	405.4102985337	385.5345424662
210140_at	200.1723797016	321.3089883263
210141_s_at	45.6691798765	42.9323932266
210142_x_at	479.6251318759	802.5729116918
210143_at	28.4959815393	32.1167030344
210144_at	139.4155149113	137.725535043
210145_at	175.1794176845	183.8403914752
210146_x_at	14.4753370485	13.3568793652
210147_at	13.7178425349	11.7054823613
210148_at	14.7912015358	18.8201259532
210149_s_at	608.2617440881	765.0449441043
210150_s_at	104.9418023163	94.9438406697
210151_s_at	78.9497249599	80.7853536943
210152_at	24.5254817688	20.5134808393
210153_s_at	232.7909749693	252.2222635355
210154_at	42.1192845501	32.4175082517
210155_at	41.4106424329	42.2931499711
210156_s_at	358.761772727	361.9593551086
210157_at	122.4294666251	108.2251346416
210158_at	19.6116843845	22.6407555417
210159_s_at	28.4276135678	29.8637398561
210160_at	68.995522081	76.648973598
210161_at	89.7040958505	82.1018291394
210162_s_at	232.9357175537	272.7727123391
210163_at	10.8173504689	10.6885994167
210164_at	21.161301561	24.5052529463
210165_at	27.9164076128	30.4526075942
210166_at	22.1744398943	27.6719085876
210167_s_at	22.1045588867	20.4238739688
210168_at	26.1100934625	25.0689100956
210169_at	33.2416443245	90.3395851914
210170_at	13.7936639164	12.7964491435
210171_s_at	14.7748980595	14.5711214462
210172_at	212.6815228939	202.5953504292
210173_at	13.7075498007	13.3037836909
210174_at	20.8692224953	20.9317401903
210175_at	168.1592025582	139.2437803112
210176_at	25.4032432157	32.5106211946
210177_at	76.9731983622	80.6016694443
210178_x_at	296.7350598179	418.7956538046
210179_at	17.5676542593	13.6746546469
210180_s_at	384.016879803	438.3394416686
210181_s_at	22.2957875385	16.9237268828
210182_at	74.9020139616	81.8769250321
210183_x_at	2015.5912771537	2239.0854046031
210184_at	57.6882835726	69.9885337989
210185_at	83.5114504507	92.1615409376
210186_s_at	173.6982307648	147.6595049777
210187_at	145.7788499552	108.9273984195
210188_at	78.1627040645	79.9826059518
210189_at	44.4829244483	54.8717620768
210190_at	38.4444549758	41.5937228712
210191_s_at	146.4806272252	167.4192502451
210192_at	18.7497144231	27.6574723859
210193_at	24.5121600201	28.5362823642
210194_at	12.3135948022	11.8969740203
210195_s_at	19.6609494516	18.3523947875
210196_s_at	15.7576289581	15.8207700048
210197_at	17.9417603522	19.5594131798
210198_s_at	15.6023675017	16.7032243443
210199_at	31.9876706537	25.8574750486
210200_at	125.4101255762	150.4446875151
210201_x_at	313.7251737395	262.9143659408
210202_s_at	124.8095518397	110.1500467595
210203_at	17.2255193404	17.957097299
210204_s_at	22.0702032843	23.1036226281
210205_at	105.0349748193	135.2984893013
210206_s_at	55.9836124193	39.3582292309
210208_x_at	991.8857808585	1431.0340331979
210210_at	94.5566439941	98.3010342331
210211_s_at	8351.3079164128	8044.7753929371
210212_x_at	238.3071075719	252.6914466585
210213_s_at	495.9256763537	497.2286908968
210214_s_at	34.737929767	29.0966894944
210215_at	780.3820098258	699.0375152014
210216_x_at	213.6199218937	210.2564139849
210218_s_at	108.8450436617	116.735642999
210219_at	32.2066699341	30.1268675637
210220_at	44.4985432666	68.7650091776
210221_at	33.1815141767	30.5917995121
210222_s_at	45.7765471523	129.0749613206
210223_s_at	86.0466944984	94.8860479427
210224_at	78.4145990607	86.3039422219
210225_x_at	148.6940747772	163.7363491554
210226_at	83.4985888641	81.3237668299
210227_at	15.3834799724	14.7548596301
210228_at	88.5935695542	95.3969769994
210229_s_at	40.0964124094	49.3442084985
210230_at	366.5163465441	378.3987036667
210231_x_at	844.7948959756	1874.0751470143
210232_at	58.116793476	47.8712990812
210233_at	25.8452406855	24.9905097917
210234_at	120.5332729338	134.1806762514
210235_s_at	91.2180511874	73.7861022449
210236_at	58.8121168741	51.5349447808
210237_at	56.9293319328	66.2463719407
210239_at	16.2174228221	19.4126419864
210240_s_at	79.1577973043	93.8478178192
210241_s_at	61.9747358815	54.4007040077
210242_x_at	227.5943232283	265.4043157279
210243_s_at	354.8620827592	426.7430560081
210244_at	37.6342918823	39.0698047331
210245_at	49.8859110151	36.7033536188
210246_s_at	25.4315653875	30.1948980759
210247_at	25.0069819552	23.1777964442
210248_at	35.7015486393	43.9569231447
210249_s_at	210.7225910434	173.4955221538
210250_x_at	1490.5361381199	1023.6853212604
210251_s_at	125.1416170079	127.0361337506
210252_s_at	512.900711208	950.9983888774
210253_at	90.2939506495	126.1511850699
210254_at	475.0066766669	665.6104652276
210255_at	34.5570808517	27.9926400992
210256_s_at	24.8596730967	28.0968492035
210257_x_at	56.1950238077	57.1083545268
210258_at	13.6642881312	13.2145623762
210259_s_at	20.4548461667	18.6804563696
210260_s_at	1534.1178952425	1600.4527562479
210261_at	21.7604591699	22.6251897688
210262_at	23.1959449995	14.6305305065
210263_at	76.7614237727	70.7869241236
210264_at	52.7630502687	52.0552728219
210265_x_at	39.152085164	39.7678551884
210266_s_at	687.9724652112	861.8883923425
210267_at	19.0712937776	22.4349337191
210268_at	43.4526677735	31.1684002898
210269_s_at	51.3923196708	52.6987330314
210270_at	149.6089333425	291.5156232752
210271_at	37.4587502375	40.1663300533
210272_at	30.464839722	32.4498896881
210273_at	34.9496673426	34.2138977846
210274_at	20.7078493363	20.347070069
210275_s_at	1425.9695158813	1721.813638891
210276_s_at	198.569060872	243.6237450245
210277_at	122.4305859043	117.1866568137
210278_s_at	32.2300644321	27.3410831904
210279_at	21.1142622822	26.1315081386
210280_at	41.4521677926	45.2225823461
