	d4Lin-_1	d4Lin-_2
1007_s_at	39.8417367406	42.7142676701
1053_at	304.6271444203	207.1118739257
117_at	34.0124650245	44.5990279115
121_at	206.1864450786	222.3026991221
1255_g_at	13.8636939414	12.4535077577
1294_at	406.0542844676	495.1990707163
1316_at	106.1057548208	97.1561768052
1320_at	27.6188795161	28.3505095704
1405_i_at	28.9124288939	204.311416674
1431_at	16.3707507054	16.4719376959
1438_at	41.8713223217	42.084484154
1487_at	176.5446774804	180.6595855988
1494_f_at	40.5195227476	45.8568824107
1598_g_at	206.0284130455	320.7495236434
160020_at	97.9623574637	120.0297946609
1729_at	164.2384739106	186.744877768
177_at	70.1928093515	57.7303358733
1773_at	43.7412988337	41.440133399
179_at	206.7577649279	239.5112884026
1861_at	58.6209977785	47.1536289516
200000_s_at	887.2698646629	732.5286151278
200001_at	541.7680124637	596.7181051838
200002_at	5082.8540005088	5568.2290606884
200003_s_at	9152.799860692	7193.7577382594
200004_at	8915.571951007	7819.0574509677
200005_at	1549.5689504389	1675.0687384699
200006_at	8665.3111629315	8058.0230466227
200007_at	5008.9331048486	5250.6855536002
200008_s_at	336.1964499261	227.3234014707
200009_at	6812.620164653	8153.719332486
200010_at	4212.3491859559	3868.1857263482
200011_s_at	933.8820692527	1990.3780699232
200012_x_at	11494.6511478777	10179.3478574985
200013_at	3783.7699402687	4054.3149583908
200014_s_at	4305.5426807286	5032.2634596551
200015_s_at	3681.2984554335	4984.5770835823
200016_x_at	17004.2649137293	14748.767083366
200017_at	8809.8348467238	6831.0652093286
200018_at	12151.8984988142	10511.6363717202
200019_s_at	10038.6540648818	9056.7038140045
200020_at	3530.3260290426	5047.1028177008
200021_at	14943.749936169	14392.1969821664
200022_at	6550.0151097527	6050.7313756967
200023_s_at	6343.0802518012	3993.4707048285
200024_at	5768.2972406336	4165.8104662683
200025_s_at	14436.4242820253	11698.16746487
200026_at	10743.8118495097	9605.8483187673
200027_at	5429.6843229909	4857.7747106627
200028_s_at	2510.820809867	2492.4277288259
200029_at	8485.9452736937	7056.3891014814
200030_s_at	5972.5347216209	5644.535587194
200031_s_at	19897.6131050476	13195.9463773266
200032_s_at	15308.2162839642	12082.7390493878
200033_at	4657.0535396615	5124.7699519901
200034_s_at	14087.219475745	12681.0291356054
200035_at	450.4026176341	798.9281918854
200036_s_at	6806.9798497749	3842.9069565511
200037_s_at	6469.6047442235	5197.1757215563
200038_s_at	12014.0385578201	9652.1671150278
200039_s_at	1975.4493728752	2217.5925333235
200040_at	4637.8028495385	4790.0416609068
200041_s_at	3161.0090911242	3985.1588852557
200042_at	1220.3272976523	909.343730806
200043_at	2623.1934646627	3864.6368623561
200044_at	1401.2500280522	1917.9222119598
200045_at	882.8791751758	1169.0369706205
200046_at	2502.8759667265	3562.189440996
200047_s_at	4292.1585642464	4353.8094864263
200048_s_at	4370.6272125322	4069.2299292991
200049_at	285.4916869747	342.996996242
200050_at	1891.5780504918	1864.740344847
200051_at	534.0741432238	583.2875595043
200052_s_at	1045.6124336138	708.013988208
200053_at	667.3108731377	817.1376274174
200054_at	318.4405237429	311.1845645935
200055_at	887.7805908747	1007.2456934504
200056_s_at	477.2114467546	331.102339941
200057_s_at	9165.8471959347	9139.0998698785
200058_s_at	2187.4710565357	1786.3192883641
200059_s_at	4354.3037942007	4910.755328806
200060_s_at	1747.4544816618	1967.0147196938
200061_s_at	8880.5756890744	10519.294570394
200062_s_at	16264.473497688	12692.010289595
200063_s_at	19420.7816836051	16455.1401308714
200064_at	5125.0192340833	5271.2020278388
200065_s_at	2750.2659901241	3409.03084651
200066_at	1241.8648838395	1309.9885780413
200067_x_at	3028.5158161487	3443.828465364
200068_s_at	5445.0509102791	6233.8622869551
200069_at	801.5184658685	785.5855966586
200070_at	462.6215716003	808.4642799543
200071_at	1111.751999985	1081.0223302868
200072_s_at	4460.239538757	3846.4432646206
200073_s_at	5061.2142117827	4501.6045562694
200074_s_at	6699.4760151097	5378.0543025812
200075_s_at	490.9402169966	598.8349826171
200076_s_at	299.8716024951	397.8531051531
200077_s_at	12171.099527824	12413.5139092911
200078_s_at	625.3235924033	867.4832514346
200079_s_at	1467.6794832235	1732.286448297
200080_s_at	8479.7769150456	9422.9180142472
200081_s_at	8901.4380411685	11440.8171843305
200082_s_at	1074.9843819647	1439.6116194247
200083_at	2185.0790364726	2519.3468284552
200084_at	1662.3447191808	2124.9729086412
200085_s_at	797.6958559937	765.9862458976
200086_s_at	4007.362434401	3485.0475695994
200087_s_at	1115.0850896944	2042.6243719095
200088_x_at	16478.2950431966	14540.6145107831
200089_s_at	10254.4046000086	9403.8785559003
200090_at	2585.0377636949	2465.1592133251
200091_s_at	7675.3483060374	6539.362041227
200092_s_at	14077.3670025421	13565.3118870392
200093_s_at	3506.4075664141	3162.5433440688
200094_s_at	3848.7480564	2891.8094912125
200095_x_at	16263.7021812502	13140.7438545507
200096_s_at	958.73398978	1463.8603478774
200097_s_at	1892.7917377969	2861.3627903943
200098_s_at	3331.8491136002	2361.9833674501
200099_s_at	19682.3125876866	16060.1056306539
200593_s_at	1222.8670376677	1601.1675227393
200594_x_at	2728.528382009	4397.9778245767
200595_s_at	2293.7914557687	1993.7914330212
200596_s_at	1708.51332849	2352.8794391082
200597_at	511.9197684899	563.8589029027
200598_s_at	796.3622907052	1026.0244915763
200599_s_at	2566.2324778431	3667.6890378374
200600_at	2406.0941778327	3217.660952285
200601_at	220.0493755085	221.8025044448
200602_at	488.9011077582	770.4661999822
200603_at	1454.7321051447	2079.6409795844
200604_s_at	99.4720359157	199.0163388282
200605_s_at	754.8475084395	1330.9125588678
200606_at	15.0706439286	15.9942813014
200607_s_at	280.6095406044	367.2662360386
200608_s_at	2239.4736759501	2311.9250319103
200609_s_at	2424.798975205	3013.0840618332
200610_s_at	5149.1578522005	6775.8642545026
200611_s_at	1231.3653916579	1468.7912811673
200612_s_at	352.0021364032	434.6130548752
200613_at	965.0293386872	652.2989523237
200614_at	5690.242628068	6303.1401820689
200615_s_at	373.6231861094	339.8014107001
200616_s_at	1362.3461927529	2019.0306374958
200617_at	806.2696607572	1113.4170215703
200618_at	901.6486827634	1255.8030101135
200619_at	1041.1119755384	1411.83746626
200620_at	541.8297998951	587.0265977083
200621_at	760.4502937924	1195.6563622565
200622_x_at	359.4719582607	461.9446868981
200623_s_at	187.5610569492	256.2144607973
200624_s_at	737.4289932731	907.7320208451
200625_s_at	3039.4011387499	4428.4291489012
200626_s_at	1316.4961836722	1563.0064061334
200627_at	4652.4618057949	4816.6835242044
200628_s_at	173.4180876216	164.8351705194
200629_at	836.9216437832	1270.0618357762
200630_x_at	3543.0658373886	6291.9771019614
200631_s_at	4906.6026107245	3685.2816174087
200632_s_at	235.8501707986	317.7709611902
200633_at	20267.2442336141	16852.878534149
200634_at	609.1840729551	1144.1769444013
200635_s_at	40.1030216653	40.4159840262
200636_s_at	31.300614407	23.9005571639
200637_s_at	27.3345042085	23.1320491023
200638_s_at	1024.3234992184	1650.5819688385
200639_s_at	4384.3307682843	5345.7392797607
200640_at	2469.8574820101	3846.9487435259
200641_s_at	224.2929546931	311.1983353361
200642_at	5070.2278206491	5183.7769140111
200643_at	639.9842065205	551.7807706324
200644_at	992.7606717014	1259.3874140898
200645_at	2064.887552338	2839.5013740073
200646_s_at	55.2248943598	64.4437320757
200647_x_at	3170.3610018387	2574.7083407751
200648_s_at	457.9839444754	554.2035338633
200649_at	225.441191253	366.0991533452
200650_s_at	11338.9873296727	11743.4433809906
200651_at	5806.7344536729	4688.6065469607
200652_at	1299.2967204557	1471.8001442015
200653_s_at	468.0310273745	853.9444102586
200654_at	2002.2989125326	2173.8751355433
200655_s_at	2280.7341945984	2811.6167625473
200656_s_at	394.5761531203	424.0914260819
200657_at	6070.4837958772	5516.4391714299
200658_s_at	958.0007719975	1000.7073223937
200659_s_at	546.7937761432	555.2272449091
200660_at	136.4038748019	229.086427088
200661_at	420.825248188	747.3512808094
200662_s_at	2209.4508772344	2076.2465927262
200663_at	2249.0346195002	4260.6160865076
200664_s_at	103.4181145038	123.3737873754
200665_s_at	337.6510885118	443.316984695
200666_s_at	468.4902622768	498.1884581379
200667_at	2142.3206967718	2052.7091687982
200668_s_at	1268.7192294159	1563.1216625234
200669_s_at	1033.3776231527	1200.8180065829
200670_at	391.0050991076	368.0922464928
200671_s_at	54.4791160046	64.2222211149
200672_x_at	64.5060345079	79.6845074228
200673_at	1743.1516497929	2039.3493436914
200674_s_at	15077.221169349	11341.4228184994
200675_at	919.1546471508	862.6077339877
200676_s_at	346.1454709861	266.1915645755
200677_at	1245.0115124615	1653.4267611804
200678_x_at	327.7332684137	520.3275744772
200679_x_at	4983.5266102667	7121.5437565868
200680_x_at	12622.3856490313	13258.8751595031
200681_at	2966.2766285121	3226.1391591285
200682_s_at	1076.0267113187	1074.6176293587
200683_s_at	572.8450497391	612.5398692231
200684_s_at	453.9453848317	518.2983393869
200685_at	388.0569869519	325.9697299621
200686_s_at	4891.7284360739	4659.5925476827
200687_s_at	1217.034067018	1370.3854128464
200688_at	176.0708926439	158.5945434079
200689_x_at	15500.249950529	13115.3710514875
200690_at	329.1838578548	248.9908406347
200691_s_at	2719.97193698	3372.7204722198
200692_s_at	836.4212264908	1182.608466293
200693_at	2637.8395448915	2234.424422079
200694_s_at	674.6283098605	734.9514160424
200695_at	374.0785252784	458.362972315
200696_s_at	363.3919259273	1786.0305335769
200697_at	965.4071602594	962.60224663
200698_at	272.6178876408	452.0002267048
200699_at	580.4639365665	842.5917812377
200700_s_at	734.9585165016	870.6573375098
200701_at	836.1479294871	797.832864209
200702_s_at	573.4470933821	687.0504176273
200703_at	2562.7379919028	2754.9760268946
200704_at	570.6034757967	933.203401849
200705_s_at	8186.8910619708	7394.7268780307
200706_s_at	210.0919720375	355.5006570078
200707_at	262.9392856182	344.3815418117
200708_at	1965.6537298092	2306.4952437063
200709_at	604.6804244232	1075.7496596422
200710_at	771.8742410058	1009.1467240608
200711_s_at	1014.706665801	1418.7591597679
200712_s_at	358.4947824193	406.1537249259
200713_s_at	3455.3295589021	4144.5876652842
200714_x_at	636.4470569927	1094.3201425544
200715_x_at	12599.3232168166	10825.0397916279
200716_x_at	11581.860202492	10017.165720277
200717_x_at	18609.9508329837	15899.275765128
200718_s_at	6548.8722049593	5532.3336273726
200719_at	397.5781586226	513.9761085288
200720_s_at	215.8573439004	208.5549730431
200721_s_at	277.9723463426	460.7460657947
200722_s_at	223.5487624419	193.6868957173
200723_s_at	1106.6717552226	806.228982243
200724_at	43.1258413659	44.4464207071
200725_x_at	12711.5103421155	9350.0867264226
200726_at	3628.0476429144	2417.3508627703
200727_s_at	481.109667119	1142.0732278258
200728_at	2950.204812492	5282.8452861831
200729_s_at	974.7820375245	1245.6902575398
200730_s_at	83.5125808016	82.2698836479
200731_s_at	281.1399501725	345.7263138848
200732_s_at	830.2344652451	981.7911828058
200733_s_at	504.2510798328	592.9287045834
200734_s_at	980.0212909475	1226.1504469595
200735_x_at	11913.5201389648	8819.1757441842
200736_s_at	3721.1887434269	4372.6697402061
200737_at	1110.2979195635	963.9323524768
200738_s_at	5137.3726631091	4029.2926574135
200739_s_at	230.2446044424	304.5119625425
200740_s_at	4399.6805174558	4175.1856735486
200741_s_at	9237.166240956	5688.4922055932
200742_s_at	257.8582891793	501.6044947688
200743_s_at	2227.6924814171	3468.7992917183
200744_s_at	596.6306245292	586.4984815097
200745_s_at	648.0718280738	723.2230191257
200746_s_at	966.0399823251	1367.2294731622
200747_s_at	484.5422859793	401.1666087998
200748_s_at	6165.3320035258	6940.4425942322
200749_at	733.5143714596	701.5854440452
200750_s_at	6471.2190173462	5339.6035658185
200751_s_at	442.7616583748	668.645084872
200752_s_at	372.5031884195	570.7146321549
200753_x_at	595.1542386885	631.9539519217
200754_x_at	7203.4288389488	7469.0557219635
200755_s_at	223.732450257	293.8129481822
200756_x_at	105.9377850129	116.4924745657
200757_s_at	162.9120654718	213.622537453
200758_s_at	317.1455548532	381.0081473571
200759_x_at	471.851773488	516.6238479267
200760_s_at	642.1741620249	1225.2763153997
200761_s_at	2788.7845634744	3512.8907911635
200762_at	1366.2290796351	2677.0842098533
200763_s_at	16761.7310108913	14383.1817863238
200764_s_at	199.1093879948	159.434615285
200765_x_at	1243.7539791508	1294.7071635655
200766_at	265.6034467956	346.2610696493
200767_s_at	166.5584318803	223.914489851
200768_s_at	2848.866266299	2332.2892257086
200769_s_at	130.1724720943	130.9447016665
200770_s_at	97.8048043326	132.6438534982
200771_at	277.6812469505	328.6558561684
200772_x_at	7802.9397532612	10241.2710467423
200773_x_at	6180.5004471397	7806.3429950503
200774_at	5403.0599086332	6620.5834127177
200775_s_at	4943.5944239054	6445.9399093061
200776_s_at	559.970063297	775.9800325828
200777_s_at	2567.2320840364	2948.8136758868
200778_s_at	420.6692778344	621.8242323185
200779_at	5640.423544999	5193.2216899045
200780_x_at	6576.2085386141	4914.0708331218
200781_s_at	9916.1818969304	7878.6655076175
200782_at	1118.519467204	2478.4565946445
200783_s_at	2189.4748664776	1923.9918714045
200784_s_at	72.441876703	90.4654529277
200785_s_at	91.1323642687	95.3262586415
200786_at	1307.1202023818	892.9474271229
200787_s_at	62.8144489017	73.2214812155
200788_s_at	413.1827968918	659.8590422339
200789_at	657.5680558873	735.6761290475
200790_at	3716.5091954963	2677.9784408222
200791_s_at	646.3390562716	769.3454092812
200792_at	4657.8052986024	4282.5775141226
200793_s_at	467.6155858592	425.3508170028
200794_x_at	4030.2063607826	5085.144402475
200795_at	16.7436376512	16.0679921279
200796_s_at	21.5604888893	22.4598867867
200797_s_at	3246.46909295	4105.12147161
200798_x_at	116.0848978066	170.0041968227
200799_at	2428.2600149829	3856.3707691995
200800_s_at	833.1826448913	1792.846034411
200801_x_at	19054.1105948602	24314.6207677054
200802_at	302.093091204	298.9069993003
200803_s_at	692.4729786447	847.8312824468
200804_at	1171.8928565988	1608.0045613634
200805_at	385.9220312809	523.3425439601
200806_s_at	1026.5064026367	984.6927475227
200807_s_at	13430.4613979672	10260.3937761816
200808_s_at	173.4348529331	303.5381206205
200809_x_at	16274.2225501636	14004.7689093973
200810_s_at	4678.7462011611	5242.0414038585
200811_at	1256.3850165595	1700.2173306154
200812_at	2464.6614317235	2355.3573803069
200813_s_at	167.1706710008	170.6491339387
200814_at	2513.2970021297	2495.5022410838
200815_s_at	455.2688043946	709.8192502563
200816_s_at	695.5861313019	980.5863937642
200817_x_at	6528.3636157356	5036.6307998934
200818_at	4851.4103181818	3432.4017712778
200819_s_at	20151.1924075734	17578.9958174531
200820_at	638.7963246132	502.6172423377
200821_at	717.2142785946	776.6479921579
200822_x_at	2762.9774983314	4193.4229920452
200823_x_at	4809.6751617635	3816.8102070788
200824_at	696.4505383855	865.7197019301
200825_s_at	445.5233664673	793.3217818575
200826_at	3699.774568215	3566.7188483041
200827_at	140.077389396	149.2953316233
200828_s_at	522.5356288531	441.2481997513
200829_x_at	2136.9895582787	2071.0060429906
200830_at	2335.7868597009	1901.3644803557
200831_s_at	544.3041405708	964.0486802875
200832_s_at	1738.6963409638	3208.710645719
200833_s_at	9332.7206235643	12905.0186755522
200834_s_at	11382.4917223336	7880.6045098124
200835_s_at	139.1933644512	120.5182358719
200836_s_at	189.6692747353	210.3759859459
200837_at	1134.0502120633	1667.791379892
200838_at	212.2551439742	251.5998719319
200839_s_at	354.8777366845	459.418867862
200840_at	11280.1197538504	9662.9829013313
200841_s_at	135.0294460207	172.1523177687
200842_s_at	1178.6025445832	1142.4008330567
200843_s_at	1670.9075203951	1689.4150941874
200844_s_at	1856.844993078	2413.7161090752
200845_s_at	3280.2524551297	4766.5167102863
200846_s_at	696.9045331669	622.0935248248
200847_s_at	3831.8820076847	3480.3292515618
200848_at	330.866068828	276.8912852126
200849_s_at	403.5440716743	368.6040238469
200850_s_at	870.3669621849	884.7902746296
200851_s_at	1929.5154109786	2196.8376961086
200852_x_at	481.1271393476	564.9705280148
200853_at	4842.9277702479	5071.7126320871
200854_at	529.1086865308	723.6200880347
200855_at	70.9097347384	86.0425638425
200856_x_at	100.1639132811	66.6482237847
200857_s_at	161.8730485903	172.6584132255
200858_s_at	9762.6780381067	8237.2673325285
200859_x_at	582.2648364069	934.4759594409
200860_s_at	1644.5513636515	1672.6385017208
200861_at	290.2621052397	336.2315592519
200862_at	1027.6592470782	1326.1762405478
200863_s_at	2753.8094112283	2934.6227191122
200864_s_at	267.4752585003	414.2360578288
200865_at	14.5892313502	12.6095664489
200866_s_at	253.0055582651	413.4665140776
200867_at	299.2794429016	289.2209632376
200868_s_at	185.5201677366	214.9770890772
200869_at	957.1164034669	788.2738377304
200870_at	2485.5176350103	2775.1528018755
200871_s_at	3003.778111262	5025.0519279721
200872_at	535.8123748327	1131.1846269859
200873_s_at	5054.7890473646	5184.5059073137
200874_s_at	350.6960125923	336.7886969275
200875_s_at	2506.5129506453	2097.9597789728
200876_s_at	2658.4301526386	2248.713010862
200877_at	6306.5652674557	5347.0684744213
200878_at	31.5557184051	25.1913349602
200879_s_at	23.1343934061	20.7667006241
200880_at	1227.8398646204	1250.4285077916
200881_s_at	1866.7391649136	1936.2817973668
200882_s_at	1928.9908796113	2243.5201698162
200883_at	694.2094139475	518.4416263369
200884_at	149.7394342792	358.4205367624
200885_at	153.0553726806	318.091141425
200886_s_at	5722.1473380361	5496.2740618005
200887_s_at	770.7794042187	959.425821702
200888_s_at	6438.0020492335	5638.8528503581
200889_s_at	498.5274557849	835.9352368992
200890_s_at	436.2658244072	738.2694791597
200891_s_at	3236.0722479963	4006.5368580276
200892_s_at	1491.7861892587	1329.4749395323
200893_at	9238.3483890149	7057.728664891
200894_s_at	240.2155859335	261.1278078578
200895_s_at	935.0697638843	1391.4205814114
200896_x_at	2390.061897623	3961.2369608303
200897_s_at	27.0200712677	21.5985982507
200898_s_at	242.2677809262	319.2028482509
200899_s_at	917.3923425896	964.0757414088
200900_s_at	469.3615059795	1169.6453403182
200901_s_at	882.2800322295	1405.0477518892
200902_at	1003.2601036442	754.1231125751
200903_s_at	1739.0996078964	1413.7274036331
200904_at	313.4416988044	332.448792264
200905_x_at	917.5908010401	1284.0697966621
200906_s_at	29.3942751531	26.4898103714
200907_s_at	28.5669189936	32.1730912618
200908_s_at	158.0858713335	144.280413898
200909_s_at	6046.4931302133	6352.3963781602
200910_at	2496.9910549544	2838.3002775791
200911_s_at	1735.1481474119	2797.040895875
200912_s_at	6065.6600176374	5026.3647418537
200913_at	711.6972737806	892.2593793505
200914_x_at	586.09444361	575.8283137711
200915_x_at	1659.7670344938	1657.8031159122
200916_at	3304.1833278626	5725.910608558
200917_s_at	195.4718137041	257.3392396691
200918_s_at	856.0654682551	1092.9828366875
200919_at	636.6393788561	806.3946301273
200920_s_at	247.8035604204	315.2551774441
200921_s_at	441.0179880453	737.7864720532
200922_at	58.5851481489	69.925928895
200923_at	80.8468786271	73.5088653873
200924_s_at	562.1192428212	562.0024796788
200925_at	1444.6437139026	1921.5659156549
200926_at	22560.728142677	18545.5667454729
200927_s_at	193.5516983972	306.6987421214
200928_s_at	78.9605953701	86.2054549881
200929_at	576.7573156455	677.429824906
200930_s_at	19.3460834133	17.5279475469
200931_s_at	1517.520383199	4040.628439327
200932_s_at	347.2542690451	361.9826569241
200933_x_at	22480.322353041	16252.8042740717
200934_at	4152.1406992425	3779.7112007102
200935_at	189.1521973893	144.1098469437
200936_at	11015.8453763525	10640.2220258336
200937_s_at	8984.8778673896	6742.9500651756
200938_s_at	19.9860170826	18.5115943019
200939_s_at	17.8691693301	19.0423160723
200940_s_at	474.0176324891	571.0922551757
200941_at	1252.4235026526	1473.8145528426
200942_s_at	326.0011399247	491.510276804
200943_at	5185.6425071965	6099.47092626
200944_s_at	12284.5266212294	12005.5247631676
200945_s_at	1487.6691645358	1710.136774548
200946_x_at	174.7580255537	182.3911341491
200947_s_at	372.9445288085	567.0175655199
200948_at	404.8293638759	648.5599794388
200949_x_at	6565.040616981	6569.7577919783
200950_at	343.2981523463	341.8475809016
200951_s_at	406.6612586593	396.1183392326
200952_s_at	29.4993576891	42.5048886339
200953_s_at	724.5782861797	1208.2091535109
200954_at	264.0536994032	405.2447295556
200955_at	1006.549809977	1222.363305909
200956_s_at	644.4789421311	579.7946506572
200957_s_at	1742.1406778265	1844.4983931699
200958_s_at	1705.5785982509	2387.0149861494
200959_at	3828.0489880159	4049.1380908875
200960_x_at	2070.9208656141	2592.209898194
200961_at	1206.8635994005	928.3484720688
200962_at	500.1205185596	634.7640133835
200963_x_at	17046.9663519003	13640.5294288508
200964_at	1113.6959693134	1891.2940681223
200965_s_at	287.8403118021	316.647959076
200966_x_at	5418.8416050325	6619.5007948769
200967_at	2251.9848878484	3851.0092542068
200968_s_at	1036.0259537404	1897.9839652488
200969_at	1321.4925178785	1638.1504121981
200970_s_at	1308.5051281683	1386.0857806055
200971_s_at	3014.7592409742	3871.5672711361
200972_at	1321.5695338356	1622.0957009912
200973_s_at	282.6513918156	256.8825162445
200974_at	94.8158722933	121.1078247702
200975_at	978.8278319211	908.5514417198
200976_s_at	738.6296746642	989.9270308133
200977_s_at	604.3659619855	805.8897557338
200978_at	2273.8117997248	2494.5301244469
200979_at	262.0137501536	248.7464709468
200980_s_at	1037.9488163338	1430.666839405
200981_x_at	5782.2164879717	4383.9115178094
200982_s_at	179.6189857559	187.2708297932
200983_x_at	153.3706064329	224.6111609366
200984_s_at	256.568959546	297.1503850696
200985_s_at	431.7453079891	446.2021516514
200986_at	102.6305866195	138.2114467098
200987_x_at	233.8243200252	212.6207785312
200988_s_at	130.7762892441	78.1067992582
200989_at	2058.4906462554	2292.0502050683
200990_at	1742.92601041	1907.2075325549
200991_s_at	869.3355079692	935.6884367513
200992_at	1805.6978753019	2770.9400700275
200993_at	984.9253805532	1045.2397199628
200994_at	1269.9645937579	1597.7445068379
200995_at	564.9810215045	765.9838460256
200996_at	3893.5177615821	4053.1282060947
200997_at	2167.1243084632	2355.6246753677
200998_s_at	104.0100880233	101.7364506962
200999_s_at	209.4773149108	179.8433183138
201000_at	666.3440103494	892.8832982064
201001_s_at	835.2841786241	1038.9305515894
201002_s_at	833.9805935415	974.0295658483
201003_x_at	349.933447915	365.4810529921
201004_at	2012.5958275	2210.0798930209
201005_at	272.8059276409	1640.1088025017
201006_at	47.7832204977	51.5361370542
201007_at	1170.9773389424	1280.7578782406
201008_s_at	114.2719521436	248.6029438966
201009_s_at	202.4862545302	369.8164889952
201010_s_at	754.6979931701	1210.3831743576
201011_at	612.3912814271	1006.7680265662
201012_at	500.7195455369	654.3300683084
201013_s_at	2920.6686043482	3302.3755301776
201014_s_at	1662.245967339	1495.1419187884
201015_s_at	306.0148725188	355.022891666
201016_at	865.2086524131	692.5707383624
201017_at	402.6127569206	402.2901434471
201018_at	785.8424703921	443.762565293
201019_s_at	1885.8703676083	2140.5927798537
201020_at	92.6447067952	121.8770513856
201021_s_at	565.6426084665	716.6866430691
201022_s_at	2887.3740323423	3017.4773423064
201023_at	845.3386344936	863.3338273213
201024_x_at	3436.5009397408	3675.2558552818
201025_at	299.8649986269	401.9273628137
201026_at	248.9689370466	243.8320428596
201027_s_at	657.7286251108	659.3314380897
201028_s_at	236.9210140656	263.8710890457
201029_s_at	1706.0083490483	2235.5587645496
201030_x_at	17365.2102847747	15318.8344443832
201031_s_at	3909.2554183527	5281.8994965652
201032_at	629.3870401674	1116.247343653
201033_x_at	26787.770334354	19921.3625167895
201034_at	500.8234354584	621.1592073323
201035_s_at	340.2972056084	340.7530315661
201036_s_at	1628.7953490062	1230.519100013
201037_at	660.5076751653	775.473437051
201038_s_at	1276.7508909865	1192.7752827167
201039_s_at	123.2691842304	160.993544661
201040_at	678.2970231655	1128.2302046338
201041_s_at	700.9213374097	579.4623941567
201042_at	46.2997942599	41.2683779107
201043_s_at	82.941094499	120.4884170132
201044_x_at	53.6540177781	54.296883085
201045_s_at	60.2572637002	48.560519825
201046_s_at	1092.0755064656	1672.085077143
201047_x_at	484.3642393924	836.5490659602
201048_x_at	20.1023961989	23.320891543
201049_s_at	20079.2530613786	14931.1017752636
201050_at	202.0445496237	284.1032652528
201051_at	2816.8313041439	3147.7588010575
201052_s_at	284.3215961425	216.6586969781
201053_s_at	697.2396786188	570.9210398531
201054_at	1263.52711217	1251.4509077799
201055_s_at	441.9940370769	576.7460422913
201056_at	123.3632538986	147.5403938754
201057_s_at	422.4898054778	600.2213579672
201058_s_at	32.5132184456	44.8303078298
201059_at	177.126508972	443.3198269335
201060_x_at	1039.5839860827	2659.1038331731
201061_s_at	2970.7104017552	5884.9388624722
201062_at	12.5924102542	14.5443664653
201063_at	405.2855700743	553.8053408941
201064_s_at	1092.7565817857	904.3961122109
201065_s_at	1129.520297693	1077.0060891591
201066_at	927.4365363731	571.3806569117
201067_at	325.6851583938	322.7655775302
201068_s_at	2741.8090374854	3009.2939484513
201069_at	147.5142672024	135.7742378563
201070_x_at	467.2430008861	582.2281413316
201071_x_at	3179.6416061524	3510.3045920124
201072_s_at	720.5226286302	1082.9731842192
201073_s_at	81.3372355575	74.1964248639
201074_at	1137.7140620492	1151.1054865228
201075_s_at	340.5845251543	298.4278068151
201076_at	1349.7286199031	1481.4975717125
201077_s_at	2066.6919815016	2259.2763301243
201078_at	728.8157611197	879.5665789667
201079_at	324.8966627535	331.9844836867
201080_at	366.9075504217	376.1491508212
201081_s_at	83.814376477	112.3121383403
201082_s_at	147.179045287	159.2776757477
201083_s_at	484.2488272466	409.6811674066
201084_s_at	3556.9949991614	3567.4108716869
201085_s_at	1042.692244896	1118.4674925299
201086_x_at	1024.1356962297	1271.6137165196
201087_at	97.8674238024	122.6663545647
201088_at	3777.0958962834	4098.5759394511
201089_at	421.7906091481	523.2481445658
201090_x_at	12271.2381701833	10642.9706650267
201091_s_at	2026.8077972768	1961.7500707217
201092_at	2578.1225087666	2994.7416561815
201093_x_at	931.862396352	940.9261923324
201094_at	14058.5444453728	10956.5844257951
201095_at	485.7510977221	454.8676021644
201096_s_at	341.3008120724	561.2608668872
201097_s_at	2309.7862440283	3539.2548800455
201098_at	840.2794540099	1144.6092233761
201099_at	455.8512268584	468.3323516489
201100_s_at	1052.043023928	1275.9073396067
201101_s_at	1444.3875694884	1194.1571006569
201102_s_at	317.0372237768	400.7482649693
201103_x_at	1758.6572668027	2260.7591386246
201104_x_at	334.3948606677	368.3486176487
201105_at	1173.6155192041	1101.5136558815
201106_at	1931.5030120189	2224.3436336517
201107_s_at	23.4008784965	34.3635090215
201108_s_at	166.3974114037	654.4813919448
201109_s_at	183.0477667885	889.907740949
201110_s_at	241.1477619342	1296.6510525984
201111_at	2165.1720769508	2382.0347986413
201112_s_at	2005.472786641	1602.8415485567
201113_at	1612.3962040514	1770.5159388502
201114_x_at	1473.0000003079	1544.6344240412
201115_at	384.6015688881	458.3297180643
201116_s_at	30.8303021583	30.0828267114
201117_s_at	11.7003841276	11.538225357
201118_at	499.3921172402	562.5488104271
201119_s_at	2016.8833722511	2857.2896421079
201120_s_at	142.8352060901	203.5456638526
201121_s_at	1278.9076028158	1444.0120347855
201122_x_at	483.5712940809	656.1321488196
201123_s_at	469.6939665212	309.31614323
201124_at	38.7718007081	33.2897186266
201125_s_at	147.378497435	702.6292074177
201126_s_at	336.7927735707	399.0565755918
201127_s_at	356.6413678191	469.4108862259
201128_s_at	2826.2462408101	3153.0655978747
201129_at	1092.8345770601	1221.8016974953
201130_s_at	22.3384353458	17.5208488014
201131_s_at	400.327770163	267.6750897174
201132_at	539.1179923748	937.7876966243
201133_s_at	414.8301485874	645.7569293026
201134_x_at	3659.9136136091	4503.586473721
201135_at	1754.0022807036	2056.3697456079
201136_at	984.3066575882	1111.2234705476
201137_s_at	954.1509016652	2025.4078442974
