Reference_ID	Celltype	Subclass	Class	Markers	Type
GMP_3	Granulocyte-Monocyte Progenitor	GMP 	GMP	CD34+ CD38+ IL-3Rlo CD45RA+ 	GMP
GMP_4	Granulocyte-Monocyte Progenitor	GMP 	GMP	CD34+ CD38+ IL-3Rlo CD45RA+ 	GMP
GRAN1_1	Colony Forming Unit-Granulocyte (CFU-G)	GRAN1 	GRAN	CD34- SSChi CD45+ CD11b- CD16- 	GRAN
GRAN1_2	Colony Forming Unit-Granulocyte (CFU-G)	GRAN1 	GRAN	CD34- SSChi CD45+ CD11b- CD16- 	GRAN
GRAN1_3	Colony Forming Unit-Granulocyte (CFU-G)	GRAN1 	GRAN	CD34- SSChi CD45+ CD11b- CD16- 	GRAN
GRAN1_4	Colony Forming Unit-Granulocyte (CFU-G)	GRAN1 	GRAN	CD34- SSChi CD45+ CD11b- CD16- 	GRAN
GRAN1_5	Colony Forming Unit-Granulocyte (CFU-G)	GRAN1 	GRAN	CD34- SSChi CD45+ CD11b- CD16- 	GRAN
GRAN2_1	Neutrophilic Metamyelocyte	GRAN2 	GRAN	CD34- SSChi CD45+ CD11b+ CD16- 	GRAN
GRAN2_2	Neutrophilic Metamyelocyte	GRAN2 	GRAN	CD34- SSChi CD45+ CD11b+ CD16- 	GRAN
GRAN2_3	Neutrophilic Metamyelocyte	GRAN2 	GRAN	CD34- SSChi CD45+ CD11b+ CD16- 	GRAN
GRAN2_4	Neutrophilic Metamyelocyte	GRAN2 	GRAN	CD34- SSChi CD45+ CD11b+ CD16- 	GRAN
GRAN3_1	Neutrophil	GRAN3 	GRAN	FSChi SSChi CD16+ CD11b+ 	GRAN
GRAN3_2	Neutrophil	GRAN3 	GRAN	FSChi SSChi CD16+ CD11b+ 	GRAN
GRAN3_3	Neutrophil	GRAN3 	GRAN	FSChi SSChi CD16+ CD11b+ 	GRAN
GRAN3_4	Neutrophil	GRAN3 	GRAN	FSChi SSChi CD16+ CD11b+ 	GRAN
HSC1_1	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_10	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_2	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_3	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_4	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_5	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_6	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_7	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_8	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
HSC1_9	Hematopoietic Stem Cell	HSC1 	HSC	CD133+ CD34dim 	HSC
MEGA1_1	Colony Forming Unit-Megakaryocytic (CFU-MK)	MEGA1 	MEGA	CD34+ CD41+ CD61+ CD45- 	MEGA
MEGA1_2	Colony Forming Unit-Megakaryocytic (CFU-MK)	MEGA1 	MEGA	CD34+ CD41+ CD61+ CD45- 	MEGA
MEGA1_3	Colony Forming Unit-Megakaryocytic (CFU-MK)	MEGA1 	MEGA	CD34+ CD41+ CD61+ CD45- 	MEGA
MEGA1_4	Colony Forming Unit-Megakaryocytic (CFU-MK)	MEGA1 	MEGA	CD34+ CD41+ CD61+ CD45- 	MEGA
MEGA1_5	Colony Forming Unit-Megakaryocytic (CFU-MK)	MEGA1 	MEGA	CD34+ CD41+ CD61+ CD45- 	MEGA
MEGA2_1	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_2	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_3	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_4	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_5	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_6	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEGA2_7	Megakaryocyte	MEGA2 	MEGA	CD34- CD41+ CD61+ CD45- 	MEGA
MEP_1	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_2	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_3	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_4	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_5	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_6	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_7	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_8	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MEP_9	Megakaryocyte/Erythroid Progenitor	MEP 	MEP	CD34+ CD38+ IL-3R- CD45RA- 	MEP
MONO1_1	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO
MONO1_2	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO
MONO1_3	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO
MONO1_4	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO
MONO2_1	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO
MONO2_2	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO
MONO2_3	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO
MONO2_4	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO
MONO2_5	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO
PREB2_1	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB
PREB2_2	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB
PREB2_3	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB
PREB2_4	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB
PREB3_1	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB
PREB3_2	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB
PREB3_3	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB
PREB3_4	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB
PREB3_5	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB
