	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
209207_s_at	357.77676	288.587781	423.899635	1016.152694	404.226059	602.957082	677.470467	531.20916	474.471812	639.618114	405.072836
209208_at	27.320401	24.198893	25.211399	36.069331	30.14534	34.752964	35.273746	29.298993	35.414109	44.023415	22.696134
209209_s_at	33.891884	37.622387	33.1254	28.863383	29.757491	25.984186	27.057126	36.521444	35.683044	28.428369	39.785161
209210_s_at	39.953969	52.608945	28.470903	35.105152	168.107369	27.161861	24.377006	38.256479	29.191392	34.107719	26.004614
209211_at	130.065257	110.427207	177.795215	123.24711	106.459572	152.383322	249.377284	137.891284	77.750233	124.604633	97.838974
209212_s_at	44.490045	39.028096	56.056952	34.614336	33.476329	40.375418	44.774983	42.925254	35.997303	43.858462	43.722014
209213_at	36.422435	40.866631	35.952729	34.478072	35.083718	42.253256	39.662158	33.789015	36.78582	42.770538	32.622163
209214_s_at	140.675618	92.611822	145.963254	151.495526	211.785393	248.234878	233.769726	143.978791	190.104998	223.186799	129.714412
209215_at	33.925173	37.282672	32.23201	38.135384	50.213845	54.330068	55.850428	33.648295	43.78427	48.338611	29.884999
209216_at	43.930469	28.984155	36.899928	277.929445	46.777218	57.05232	67.754044	42.865749	37.806653	67.251848	55.749788
209217_s_at	25.157365	18.409212	22.740809	56.650521	20.530404	26.948401	28.82726	25.701806	22.180244	32.186772	24.960344
209218_at	204.886889	240.57987	166.052709	225.777202	260.955902	158.790227	456.999388	370.804369	531.371697	240.193889	107.187475
209219_at	85.861958	77.322032	74.865178	102.830778	129.051585	121.262923	107.718638	92.408588	89.882998	124.778774	84.508589
209220_at	47.2175	43.395252	45.308583	44.96346	50.687752	44.912134	45.507165	50.950862	36.261773	45.991862	42.786704
209221_s_at	141.527248	61.290235	182.377074	164.462486	189.419975	536.624212	340.016476	171.328917	188.055056	336.213598	89.442523
209222_s_at	72.067494	71.221824	56.225395	76.043659	80.791795	84.626137	73.038698	72.546163	63.918036	94.667114	73.316055
209223_at	84.167287	55.160067	94.882507	110.293809	66.12298	86.377929	79.319418	90.486416	63.514634	99.387636	85.476225
209224_s_at	91.4629	48.487266	67.66698	376.160298	74.141588	174.321614	171.187348	95.680549	98.262804	215.476217	96.786046
209225_x_at	444.623517	335.464037	438.242474	1138.099306	451.331162	563.550847	731.989593	529.593123	500.029049	620.715996	419.812287
209226_s_at	249.268211	171.651897	285.411507	691.148651	313.96884	452.740476	552.595238	321.257852	387.647863	458.893566	236.850236
209227_at	58.512049	76.707484	46.590471	55.118868	49.860628	37.106359	44.614165	56.547491	65.318281	41.565398	79.468313
209228_x_at	34.07051	31.427433	41.297744	35.515983	39.08805	39.29524	38.543116	35.787253	36.505072	35.521045	30.267133
209229_s_at	34.941336	23.659443	34.48654	51.874618	37.288929	51.651173	51.649705	33.191894	37.903461	38.907672	32.222402
209230_s_at	48.170116	76.873998	60.583075	60.159404	57.714105	55.458883	60.4638	59.36577	61.63697	57.543169	70.935854
209231_s_at	23.438902	16.15389	22.850514	22.369914	20.344793	33.206526	26.151416	24.386388	26.162204	29.315975	21.12291
209232_s_at	93.240715	67.485625	95.010955	82.515983	82.252334	116.644207	124.502109	77.854591	96.561449	125.268682	102.17817
