	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
212043_at	453.044693	454.231473	589.486551	244.863899	681.850852	760.100479	460.142636	549.837937	464.869167	845.554968	342.466424
212044_s_at	4549.25657	6215.07625	3369.337855	3322.71189	5031.259444	4781.499446	5032.61805	3801.319475	5461.827967	4674.981949	4457.009726
212045_at	26.331183	17.866299	20.808334	17.690836	22.213855	43.667038	22.037857	28.694229	17.539535	41.592848	29.739752
212046_x_at	24.656517	19.41298	21.133154	23.696953	21.960549	39.976268	35.274348	26.76643	25.647166	32.840341	23.58473
212047_s_at	28.747325	11.154171	20.140642	20.153979	23.829734	49.137084	28.278331	29.869131	23.362252	36.147608	28.986728
212048_s_at	58.320516	68.619086	71.156888	129.064812	106.663474	190.027141	217.640455	129.906245	260.903696	113.562236	87.291696
212049_at	202.508707	120.805984	241.281539	116.800359	298.095336	390.379359	215.342312	271.881535	216.024397	399.557528	116.979517
212050_at	167.836546	96.092809	308.611597	266.541625	246.292597	696.908035	429.729476	212.965647	304.191383	543.987555	87.853051
212051_at	37.112715	14.077049	22.275025	23.006424	19.062611	51.445111	27.844239	36.284894	24.402659	42.981851	29.692362
212052_s_at	45.456139	49.573778	49.141677	40.550293	40.250587	59.664191	56.583946	50.111069	52.030351	70.590623	51.087246
212053_at	42.432012	36.117333	34.792266	39.608838	57.466349	76.123857	63.137169	54.963505	58.355064	59.374576	46.245975
212054_x_at	23.072116	26.985682	22.493001	24.927191	23.030825	27.082188	28.886048	22.588701	28.620074	30.049828	23.931806
212055_at	67.768521	55.4397	44.690452	384.942089	52.051367	43.339335	108.043117	78.570065	108.241165	52.513666	66.027263
212056_at	76.304126	131.506126	76.989621	104.405178	196.047039	156.156996	280.859544	136.713906	332.786704	107.575988	67.271484
212057_at	390.847866	782.980352	395.930433	626.507697	710.135477	555.082741	950.521352	694.809966	1341.218576	398.095494	219.675899
212058_at	374.113872	493.304167	504.356	317.142581	647.142609	634.825949	556.130847	394.898234	729.480666	452.262628	356.100474
