	Lin-_1	Lin-_2	MNC_1	MNC_2
209101_at	56.4874522999	55.7624485749	46.5613490044	53.3087740761
209102_s_at	1066.7634054148	991.9299367046	1906.275073149	1730.1706217877
209103_s_at	3617.0715920459	3280.9347606519	3096.7931889061	2783.9382522246
209104_s_at	5683.8775756888	4988.4018227511	1785.0826690691	1598.0625630185
209105_at	383.6457546328	367.4358556709	934.9943582598	879.223127333
209106_at	1361.4938544476	1261.416195788	2810.292409778	2447.0183277464
209107_x_at	816.7828102974	771.8596146116	1538.3654048881	1426.3676149816
209108_at	97.1920458903	109.2834814128	46.2080959659	59.9720003676
209109_s_at	176.1290971838	161.4628518002	74.9277384489	81.1582559627
209110_s_at	2085.3948486697	1942.1681723434	3038.7117698393	2696.7476213513
209111_at	643.5943557439	736.0523774225	616.9874164853	533.161325989
209112_at	1201.3818050054	1172.2055336585	2734.4687368413	2475.6382238569
209113_s_at	94.3799910146	99.9122919522	65.5537741677	85.5628668005
209114_at	40.7297814975	42.515952578	50.7608595986	43.9469212622
209115_at	1743.4922389011	1646.5391367204	2612.8074578366	2364.7777955204
209116_x_at	4021.9843427303	3895.3377143572	17149.7317802685	16941.3598928129
209117_at	485.0922506074	435.5950312282	1175.7812512168	1113.8546540527
209118_s_at	2865.4902704064	2836.1050306462	5798.6891143642	4622.9512200601
209119_x_at	41.2620253059	43.6454003163	45.9678909114	43.6674938538
209120_at	18.3490685304	17.8145612069	9.7270687716	18.000046606
209121_x_at	22.8683189902	37.9079982916	27.0426352131	30.9563230955
209122_at	785.7694225841	736.555916514	497.9601299462	515.7261972226
209123_at	1008.6710807405	943.5307973554	340.3750673691	349.6524933422
209124_at	1191.5007603619	1196.742416325	4029.2692462511	3443.4228523149
209125_at	14.8282680717	15.4905692753	13.2960561566	15.266905204
209126_x_at	89.0976410639	98.2634514938	91.8182005217	99.7273831293
209127_s_at	443.8946501535	457.8541405525	338.370293009	337.603340608
209128_s_at	486.0165112062	455.5246413877	382.8560142067	405.4678277701
209129_at	555.5721561172	555.2585088755	214.1943171116	221.974428998
209130_at	3294.0716673097	2881.6309645016	4781.5612762638	4018.6020906319
209131_s_at	200.8844176604	203.9578508163	348.4433944176	353.1976879856
209132_s_at	632.0918499133	611.8293510471	255.4516455319	303.0963892106
209133_s_at	68.301634839	63.2810949573	57.1813898822	50.4173977781
209134_s_at	20551.079401575	20075.6034105079	18294.7596868853	17394.2606524548
209135_at	527.5666150774	492.0434946223	527.466889944	491.1825278979
209136_s_at	136.3770992588	141.6685003878	83.1751131943	90.8301998639
209137_s_at	622.5680959891	665.9583294834	1683.3685021391	1565.1821571403
