	Lin-_1	Lin-_2	MNC_1	MNC_2
1007_s_at	72.1192419794	87.113088213	149.6971573225	139.9313548403
1053_at	568.0228546568	563.8422999079	319.5432233293	321.2807844407
117_at	93.6954174602	82.5143218956	2595.5670599478	2470.0348426646
121_at	105.7251517993	93.6998221965	82.9518926284	79.2029490685
1255_g_at	14.241506073	12.8664075354	12.3656748098	13.636214486
1294_at	1343.6068165375	1227.761071643	833.033367012	845.0191513652
1316_at	106.6466777646	116.0870131121	109.8460830595	104.3272736768
1320_at	42.1482298837	48.7133426719	53.7045382237	49.5514580275
1405_i_at	415.6860302696	393.790603895	1044.5641539205	977.8675207482
1431_at	101.4577858931	104.0387889787	47.0083792623	50.9688076145
1438_at	44.8956719576	34.096349137	47.8711202427	53.5780322658
1487_at	205.9496051653	215.5268409907	294.1234225697	278.7144565545
1494_f_at	28.1046217986	25.6256574035	32.6009856174	24.8936138026
1598_g_at	119.6536008727	126.8173719808	172.5761730608	173.6581176348
160020_at	64.5030266695	70.4511792765	92.1257341858	79.3014974871
1729_at	169.8238910498	188.4121045308	254.2981985851	275.3774374106
177_at	101.5506264078	89.7840948651	98.0211216794	109.2845949626
1773_at	71.0494162849	81.5070052059	82.0828507017	81.6680505034
179_at	142.2731033925	144.5538265294	147.2762395645	141.0676264371
1861_at	149.9001055234	150.2554510176	126.3596460187	133.0107302744
200000_s_at	1654.1458299964	1603.7532153382	883.6813935879	911.7660203779
200001_at	3127.7491694431	2941.5338499708	2651.1729173374	2381.1578495773
200002_at	14519.3277739638	14227.1146187235	8480.0631583585	7353.3159692467
200003_s_at	18167.0823739631	16768.1439704611	13693.1871988274	12312.6621199798
200004_at	5488.4898087163	5265.0173806994	5717.0596809296	4787.8022942384
200005_at	8042.8147385852	7705.0247830106	4838.7420690448	4323.6864157083
200006_at	6211.1130269747	6093.6880371206	4246.5502288282	3557.3623998707
200007_at	7392.732793917	7602.5022478254	6716.3833991629	5781.5349942178
200008_s_at	2057.7690680083	1998.2512128132	1588.4462097479	1487.4966712292
200009_at	10222.5815804386	9845.1073542732	9861.5553138958	8726.1163020037
200010_at	15745.5476498066	14905.3686932392	12592.553650389	11651.623050341
200011_s_at	1485.9262058129	1451.7888086866	1449.7515529759	1209.7457042031
200012_x_at	19956.6890208022	19109.7342975529	19883.4291175897	19230.2824013556
200013_at	16117.4146370827	14884.3162351451	13194.6337104647	11533.1184194205
200014_s_at	5496.22502958	5024.2185057012	4646.3475403658	3949.3418155512
200015_s_at	4196.1943383278	3998.2868196462	3384.3142151242	2920.7969632883
200016_x_at	22407.9701536633	22325.8428010597	16274.0059034155	14378.3918844749
200017_at	14317.1111964314	13753.2084282017	11966.3131932103	10974.315583463
200018_at	15673.8505892834	16878.6508436253	15680.7970834507	14177.6136835678
200019_s_at	18679.2696359621	18189.8233882392	16906.4657655592	15439.4792497748
200020_at	4429.148191657	4242.6353438362	3222.1678958784	2748.8734452141
200021_at	7883.6975244824	7059.0059337552	9107.2400238135	8255.1349450326
200022_at	21430.988165621	20493.3528812118	16950.0287417783	15676.7800574828
200023_s_at	14206.7316415575	13744.4108717899	10055.9688904774	9201.2507166492
200024_at	16772.9202115801	16430.4328121729	11242.3311200879	9932.172818645
200025_s_at	18009.8270500613	17513.4124834753	18894.0420179033	17692.8710423872
200026_at	18155.1526473518	17424.3725221068	16223.7915364791	14182.1338565662
200027_at	2723.0062336721	2574.5688681227	2573.5848840584	2073.5591024526
200028_s_at	8510.4588313956	8010.073893003	6430.1298000105	5593.0214935157
200029_at	23924.8869690382	23203.0124786432	20945.5288096635	20682.2470757225
200030_s_at	9187.0730828656	9130.1504825537	6035.451639717	5400.945804378
200031_s_at	26050.8852628333	24153.5658554823	22780.0022880789	21650.5982263383
200032_s_at	16809.565809675	16088.0847789974	15050.3698329487	14647.0838337437
200033_at	10060.6463837426	9821.4336189645	12247.1406518194	10965.343601678
200034_s_at	19466.1407658706	19042.1812232198	17054.2262920583	16196.6861771103
200035_at	703.5240068673	730.617551028	700.229425974	700.7968664249
200036_s_at	16802.8341091432	16300.7741007309	11292.9075419431	10176.3748428066
200037_s_at	3507.6292257355	3368.5967657864	2236.69451277	1890.2822179188
200038_s_at	26286.0446213606	26338.5511632457	24850.1152859568	23903.0423753176
200039_s_at	2336.0050893036	2201.9908554013	1105.4890923993	1102.2258261354
200040_at	7352.9685393349	6775.4381717061	4287.0426369187	3886.2559306157
200041_s_at	13220.6202049068	12743.9684839656	10282.1117066939	9185.745474361
200042_at	1995.4530987009	1861.1979996321	914.3744787128	935.0946987659
200043_at	1545.2513185248	1630.2642292284	1122.7693969444	1084.0634266638
200044_at	3853.7987750841	3775.7834745204	3217.4528431134	2770.8714775246
200045_at	908.9063768265	942.6904986056	644.161662181	640.4189116781
200046_at	2699.1660974313	2392.8295855842	1815.0151556447	1608.8235517403
200047_s_at	3031.6972983212	2709.5457541296	3056.134958918	2439.3365370136
200048_s_at	2669.0678011054	2423.9917078749	2573.8101765381	2349.0919264364
200049_at	810.3341864556	867.6183666536	683.1281916117	647.8441573919
200050_at	1634.0975622093	1594.5978924001	995.6065574182	846.0921402666
200051_at	1140.8816037425	1020.4036059807	1012.580979207	938.0678795107
200052_s_at	3860.3993804901	3618.0636305443	1305.4982448546	1203.5453043263
200053_at	1010.2056205595	916.0264236051	638.1460111204	624.6087273678
200054_at	722.9998879975	793.5935030144	503.0301973069	431.6978925215
200055_at	1935.5814366205	1995.0604790469	2515.3751652581	2231.8667685902
200056_s_at	313.2684277381	335.0700335467	459.9569665174	424.3762404962
200057_s_at	8883.8047157415	8037.2386048412	6224.0541629529	5109.6899535316
200058_s_at	2506.0704728095	2375.0369448974	1650.4595710467	1502.6616589468
200059_s_at	4332.9612693673	4155.1487397624	6205.5871957475	5530.3686083529
200060_s_at	2446.5080519244	2273.1942073856	1355.2434860987	1200.2385313987
200061_s_at	18167.261627714	16883.119018933	14183.1059830041	13494.3951565005
200062_s_at	23883.4780611769	23253.5211891574	23100.6050639657	22457.1543567421
200063_s_at	15783.458938766	14557.4499186908	10914.5689119905	9832.010944042
200064_at	12807.7166422444	12782.6460777174	4228.8022593451	3664.6780249687
200065_s_at	4096.4067428954	4096.521447836	5304.5113774021	4524.7178451189
200066_at	3625.5472453562	3255.2543115241	3090.8184833684	2870.4944633661
200067_x_at	2805.7112994064	2523.4425185806	4508.4332309474	3531.6042251873
200068_s_at	8191.0808256294	7467.7841475654	6279.9705732492	5508.5392028345
200069_at	575.5251748274	509.1593373391	411.469295757	415.7203276472
200070_at	1356.5174782208	1319.169774697	2414.164297192	1936.739676317
200071_at	1897.678935863	1795.2493782773	2189.2765055533	1895.1437884656
200072_s_at	2237.7723464659	1982.3183124552	1055.1118273303	1110.9173894107
200073_s_at	4083.179603127	3621.8191066576	3434.1521207794	2869.1822951198
200074_s_at	17570.778447994	16596.1876965683	12991.0770061944	12187.729083516
200075_s_at	1398.3604333881	1298.701124233	2266.0435188385	2136.4950344534
200076_s_at	711.3956490154	708.7881226102	624.5439285192	602.901201244
200077_s_at	9373.8631336626	8816.7273991595	13521.6979174493	12681.8249138391
200078_s_at	924.7707053426	916.2168706083	2728.9042591845	2502.3176081542
200079_s_at	2930.7428069727	2958.7470427893	1596.3855591999	1435.8839736373
200080_s_at	12559.907899059	12387.7204360573	17207.9205021626	15666.2909749362
200081_s_at	18676.5769724726	18073.8851211201	17470.577212114	16178.1479279541
200082_s_at	12780.0294696672	12362.222910738	9362.187171811	8610.3181417964
200083_at	3274.1612145834	2892.6280143638	1891.3774239677	1543.7933168909
200084_at	1173.5105837002	1080.0900781076	1105.3400419262	981.4945426191
200085_s_at	3779.9798445318	3441.530433963	3531.2148445031	3093.800391955
200086_s_at	3757.0142953588	3517.82762604	3156.1348501986	2792.5382663952
200087_s_at	4428.6261237861	4378.0809427719	4276.0205202226	3630.301336326
200088_x_at	19832.5851682618	19573.7092663602	16191.5736793094	15244.2780076119
200089_s_at	21923.3946283349	21623.8447156534	18632.5811783796	17770.3790607284
200090_at	3871.8810992321	3619.1621786241	3657.5409225336	3094.7550409755
200091_s_at	13266.8829405342	12018.9331162926	12087.9873630039	10939.1591832439
200092_s_at	26946.0897088251	26897.0236216542	26811.0788256133	25698.1565498662
200093_s_at	9430.6919414273	8733.6213242812	4937.0333100116	4238.3698660888
200094_s_at	16181.1906623654	15365.4184988461	12529.8637225694	11129.6955092614
200095_x_at	26787.5460225566	26397.1601980663	24421.1714297907	22959.6029293735
200096_s_at	2541.0675578257	2314.934528901	5015.3040407224	4405.7961859608
200097_s_at	6092.2813291271	5961.1296946322	6152.0564239537	5057.0253892043
200098_s_at	4933.4562099474	4787.5961325401	3496.9417373615	2995.3920322502
200099_s_at	25670.5539453887	26200.4332565186	25215.4111837501	24717.6732570905
200593_s_at	4800.4536422132	4159.6616825314	3523.1114628642	3123.4679150556
200594_x_at	7889.6308258736	6997.1775053851	6418.1029139901	5219.4361982559
200595_s_at	6288.2834831221	5630.1795943427	4365.7164320444	3461.3685229439
200596_s_at	1045.1214594305	966.18906748	480.8082797646	507.3349966841
200597_at	1248.2640644305	1198.6987457096	711.3308842942	665.9771700113
200598_s_at	944.6552117517	887.8272203343	554.9711263412	566.8741291714
200599_s_at	3950.3404271346	3441.4582248852	2493.0686945243	2301.3831288437
200600_at	3633.5692813305	3343.0097775445	5866.8925490828	5124.8691843315
200601_at	660.1190701498	654.4936831439	756.786197877	722.7479323355
200602_at	2045.894961114	1782.5566509572	1798.7057344376	1483.2008793727
200603_at	1468.6358586134	1406.0399932412	3088.8389835538	2348.9353633816
200604_s_at	244.0169702821	244.0489888227	431.1076696615	427.9008238107
200605_s_at	555.2301018922	500.4292438384	1554.5410427131	1158.0100079427
200606_at	14.9752148673	20.1688436354	32.8421301487	24.9749428552
200607_s_at	208.9239194095	220.2671298742	241.3914400331	257.7299511833
200608_s_at	1370.2965494298	1438.5232506507	1937.6606208464	1712.4913971727
200609_s_at	1213.4164029169	1191.4499488438	1603.3749916494	1491.0402081998
200610_s_at	4160.0047441608	3858.596637807	1847.089387257	1585.8515889145
200611_s_at	840.9943391911	776.1944852215	1219.5964808822	1213.477895698
200612_s_at	1133.5975646499	1066.9895474697	761.4176769359	727.2201539023
200613_at	1416.8420494868	1400.887677724	1198.1579234437	1171.7262284286
200614_at	5847.7434629113	5378.2344692271	5537.2878508847	4778.9629857883
200615_s_at	468.1824824273	477.8366363551	373.2524628312	373.9183621796
200616_s_at	909.5533920464	961.8895166749	380.2593382213	428.5476490901
200617_at	2295.0305610753	2042.2343616681	898.9269177929	804.9801273898
200618_at	1136.657928963	1082.2949774908	2176.9509999981	1973.9043911787
200619_at	2681.0060079723	2526.293218667	2235.2100968704	1978.5618527467
200620_at	3331.90919204	3279.3900561612	4706.4457256603	4155.63341631
200621_at	1273.7202784786	1159.0837499769	574.2328882264	583.3706597674
200622_x_at	2208.7150841374	2033.712591589	1551.9510806707	1449.8206717704
200623_s_at	7709.8627005237	7198.1516320389	6745.3347788531	5811.030277299
200624_s_at	2210.9782529217	1931.2320443995	1491.3081733341	1364.9418810407
200625_s_at	4241.9726663921	3745.6484694505	9068.7151624767	7757.9871692033
200626_s_at	4475.6666682574	4359.7981011348	3499.4730954919	2901.0356248824
200627_at	6303.7252272718	6227.9554365655	5091.1430749256	4341.6729669915
200628_s_at	181.0859655802	182.6766304486	370.8478170185	433.015855916
200629_at	515.6122842467	523.2398768809	1280.4272868747	1176.643826903
200630_x_at	1757.5753262237	1856.9200426577	1601.2412791385	1253.6251358465
200631_s_at	7233.9784865848	6832.3221535315	4096.732680788	3494.1447777383
200632_s_at	1165.5533945581	1075.1885189796	2940.5743768087	2390.8921790145
200633_at	12200.971153711	12359.3150839697	12336.0167056086	11329.2297673325
200634_at	5466.1491039916	5297.0291023416	7835.04179404	7173.9849249698
200635_s_at	62.5129409123	61.3412896068	100.3051050416	127.2046430438
200636_s_at	45.753519864	51.4629824608	96.5093587591	120.2985402001
200637_s_at	34.5809902856	32.761618611	49.501795322	47.7617999534
200638_s_at	1065.6207036924	1072.439608702	1867.2459459105	1660.2768016699
200639_s_at	4744.3999851526	4625.4994306143	7140.2660462111	6308.4752746569
200640_at	5454.6276379089	4645.4035539694	7096.4696058606	6265.6706261632
200641_s_at	281.9133201948	290.853855308	475.7765740487	481.6162105764
200642_at	9833.3183626	9146.1812694007	5190.1135112099	4468.049958598
200643_at	566.8716146035	557.7987226066	374.6055120166	429.1880287339
200644_at	1332.6788913034	1169.8992695361	805.4069261772	753.6372895365
200645_at	5179.6200053133	4827.8368707271	8992.7760292676	7830.7375054116
200646_s_at	379.8474837591	395.8846529114	389.7809697792	438.1548578459
200647_x_at	2660.2910588015	2457.5882303037	981.0832785406	956.4659480212
200648_s_at	620.2152557444	568.8223011347	2499.6941787268	2283.6062716916
200649_at	831.0215784893	843.0469443703	868.8750790219	851.2201632985
200650_s_at	7926.1154480903	7384.4149458093	7184.1532635768	6155.3455030563
200651_at	18581.927025726	18856.8385376065	14263.814323337	13406.6048434982
200652_at	6837.6580750981	6571.5671371097	5359.0057233442	4703.8152952352
200653_s_at	3244.7123316743	3056.7466762371	6838.2174218742	6095.670303483
200654_at	2396.5782843001	2064.5231537854	1710.9802858858	1478.1844960769
200655_s_at	2183.7955245617	2044.1379101447	4809.3716290938	4059.3601414653
200656_s_at	723.787903218	699.0052365734	541.0144171539	566.5844072938
200657_at	11644.0783781301	11975.3380126288	7501.1718131592	6756.4274107584
200658_s_at	1875.4585468446	1720.6076421012	527.1021791488	556.4188342513
200659_s_at	667.5226581093	663.989474803	303.1094478137	311.1678710251
200660_at	606.0839005587	493.1466752694	6161.896384796	5338.3673076915
200661_at	2700.4027674013	2614.6351889999	2957.5018247835	2680.2958046089
200662_s_at	7826.3069066757	7238.4786597924	2710.7253473748	2496.4353346347
200663_at	5491.8006503339	5328.6624475929	5901.4400932249	5239.1616630648
200664_s_at	461.6325436119	454.9090065607	899.2391883169	860.9884824105
200665_s_at	2233.2963602213	2020.7646868405	1177.4931402728	1084.4466767981
200666_s_at	1584.5886921109	1575.1117390281	2039.1384343828	1825.8307713631
200667_at	4627.5551149715	4334.6997222234	5749.8154919872	5010.6210133194
200668_s_at	3661.6720865766	3408.7112235593	5984.2379412761	5004.8215957011
200669_s_at	1518.6699558698	1652.9604201453	3527.1444517799	2946.88065776
200670_at	988.2620647882	950.8061567203	861.3139337763	821.0209913748
200671_s_at	177.8898709845	199.323034886	143.2935364055	162.1159638975
200672_x_at	153.7013075317	125.580340969	104.2482991046	131.4215325252
200673_at	5800.9788936666	5470.1332637584	6671.7955144131	5518.8175039955
200674_s_at	31035.7795355173	30968.463443464	27667.1550272601	27408.6207897649
200675_at	1356.9248948889	1275.351595173	842.5680250719	786.7519266095
200676_s_at	410.5562896388	393.895049675	292.3334182931	300.6531722914
200677_at	2900.4594872914	2825.8516083588	2759.9824751407	2523.3651797567
200678_x_at	287.8672786151	296.1203186604	1455.4326589257	1329.3385781706
200679_x_at	7172.8031017741	6732.8238102791	3477.4152216032	3083.1170531293
200680_x_at	10422.9843799877	9491.3271425285	7633.5713441397	6919.7626780192
200681_at	1616.8338010249	1449.8380985602	707.3177403546	689.6128002128
200682_s_at	2672.3533306279	2523.6964786501	1919.2869063413	1762.1876628179
200683_s_at	972.6147564898	998.7301152744	775.557897744	726.3912883331
200684_s_at	1155.3162027596	1132.6181752221	790.1967033245	761.2638737298
200685_at	2252.475892221	2162.3082989131	2306.6971778484	1892.57551739
200686_s_at	2090.8313314137	2036.3760072029	2129.8165317825	1713.9597244037
200687_s_at	1139.0601972388	1136.1242948792	615.3442215209	607.0709070046
200688_at	203.6758398276	239.2342222075	114.5667529759	124.9204699688
200689_x_at	19227.916446647	19293.3270596089	15814.9632892305	14560.6224792423
200690_at	860.0729681481	895.5607132802	368.5555389559	363.5622305577
200691_s_at	3193.9035978535	3135.5399922973	1685.5984076423	1465.0949613366
200692_s_at	2302.9117966179	2403.335667829	992.8911080677	938.7804074261
200693_at	4038.4500826463	3746.4604676363	1904.8782600904	1721.5594218843
200694_s_at	1519.8639949695	1426.8473711217	930.1475405747	915.0711306913
200695_at	788.3527179711	772.2970143443	500.6903829314	537.8874267129
200696_s_at	258.7997043436	311.1403020893	785.6630107648	790.3225150585
200697_at	1418.566735124	1296.2875938077	1573.7672158294	1357.8780130002
200698_at	593.2402047943	606.2543706982	550.3499449741	547.912509429
200699_at	1839.9565996595	1658.0787855763	1344.5736758246	1214.5310931294
200700_s_at	270.321887545	238.9606698456	229.0623549917	262.1315791896
200701_at	3441.5371202426	3094.4740790427	3937.059682776	3448.0282106719
200702_s_at	458.2165037946	486.7638253777	324.8368373419	325.7803900384
200703_at	4795.3390505762	4264.1432455056	3431.0395244628	3044.0068315554
200704_at	4163.3539654653	3613.8002534632	17479.1713582981	15783.7047832707
200705_s_at	22879.6646096018	23040.4518013991	18559.120264349	18257.1021352166
200706_s_at	356.9191433783	380.1067318647	2660.3136203573	2318.9808488942
200707_at	2587.7877757808	2463.1064898978	1335.1519385417	1332.1314787903
200708_at	1900.2654809989	1810.7878884207	779.5890725995	748.5581761146
200709_at	3365.9886556462	3196.6459083397	4636.1037042558	4091.5019750566
200710_at	1226.2995990346	1149.4236468538	843.67864845	822.4055215116
200711_s_at	1039.7231032923	1084.5546107017	783.8325045327	847.2746407783
200712_s_at	303.9568189197	296.1525895243	327.9740501868	369.7609869852
200713_s_at	4366.1329869501	4081.1667237725	3957.7334803526	3434.9873259727
200714_x_at	2029.3600313618	1812.284536541	2531.0428171353	2254.3204845601
200715_x_at	15583.8057808119	14368.5646635979	12566.7328052919	11781.2425914622
200716_x_at	24365.5111081936	24484.0388605154	21881.4411206778	20459.1073116478
200717_x_at	19163.3383300202	18398.0922939025	16288.7131511539	15242.1548481148
200718_s_at	2640.8415060978	2633.6299964274	2411.1271769261	2059.5750984057
200719_at	763.9285204589	767.3772830424	664.7753939995	602.5880330865
200720_s_at	427.2790959651	393.731592431	466.8086674194	506.073075278
200721_s_at	3722.6415467171	3385.8470071929	3888.4183797315	3293.2568957122
200722_s_at	232.2418760234	268.4138665312	167.1785257143	184.1597640018
200723_s_at	1464.9913097884	1429.8710917483	672.5581438318	670.2928452582
200724_at	586.0892440677	563.8060451028	943.1230708274	990.264537504
200725_x_at	23558.0554102165	23360.120239124	20724.8238811178	19406.4952615055
200726_at	3458.5914890875	2825.2170924157	2468.8230803479	2111.6555955839
200727_s_at	714.0299836557	676.9113841675	1519.6648530631	1352.5731340045
200728_at	2174.9265189308	2134.4469335301	4278.1622354058	3534.2085170627
200729_s_at	881.8110571536	879.9854924242	2085.1567335251	1893.2422138273
200730_s_at	219.4393929913	260.6824001631	313.116520441	326.9798499702
200731_s_at	323.2002831459	305.8865689115	305.2288109833	326.7315832379
200732_s_at	2132.1289188956	2029.0694075065	1815.2160118446	1615.0510620182
200733_s_at	1356.8093225799	1229.1122538593	1267.5134430846	1149.9043576037
200734_s_at	351.2567148067	369.4394447141	398.7313250938	370.1165532883
200735_x_at	25133.3360485319	25486.3522794752	23079.9089541322	22382.7844670868
200736_s_at	4661.8129202926	4288.5038675434	3716.8695278388	3358.1273587304
200737_at	1812.280561199	1722.7711895568	2526.4180035536	2263.1066016018
200738_s_at	3662.9835522118	3423.3983776796	5340.724304491	4398.1041872027
200739_s_at	234.3219373658	237.5597171685	152.8099123355	184.162103438
200740_s_at	1381.6832284515	1427.7799962951	656.8481938906	625.417351852
200741_s_at	14740.5047418719	13529.7829008121	13418.5269051719	11782.0757709515
200742_s_at	1195.092532239	1261.1167062009	2111.082148292	1777.8280885602
200743_s_at	3343.5356083897	2899.16265426	4317.4747636375	3693.8070786136
200744_s_at	668.1496258582	614.8661243429	954.0519469912	955.1842866675
200745_s_at	943.766757817	885.8260785408	1043.2866412948	944.6441036094
200746_s_at	3064.7742953953	2758.6961809425	2753.6932342815	2422.9658414467
200747_s_at	884.8154512697	880.8819403707	742.2761679436	693.2121299309
200748_s_at	17881.8337912873	18140.075116549	23336.8224912444	23242.4253949967
200749_at	1622.8174206578	1512.7366022205	1034.6134823565	871.0945919798
200750_s_at	6620.7102182639	6038.3025336779	2489.9006199226	2317.261626391
200751_s_at	3155.0120153955	3046.9711743249	2203.7375719178	2014.4084825307
200752_s_at	818.0026699305	749.0181194407	672.7992295627	651.8113076558
200753_x_at	1192.678415933	1199.7998264491	845.091722942	799.5982627938
200754_x_at	11746.575852305	10916.3863759799	8621.6992501769	7577.6827743865
200755_s_at	540.4703642535	553.0083075982	320.2861399995	293.4123740163
200756_x_at	124.0273359415	105.6157404556	72.8843130623	90.6567021558
200757_s_at	1801.500404574	1741.8575318942	870.1785619439	848.1992791926
200758_s_at	377.7135047097	377.5013716904	354.606843025	370.7528374686
200759_x_at	1992.6549671975	1929.5176754489	1696.0037822486	1516.3589907012
200760_s_at	1825.2577910056	1808.1858322919	2548.4633914887	2374.172496443
200761_s_at	4059.2807615231	3768.5968219674	6043.2024396018	5165.066900977
200762_at	2252.4012735374	2048.0731070905	3141.5905708168	2534.9979839031
200763_s_at	16643.6707555716	16881.0331681797	13692.0341070977	12381.3922195458
200764_s_at	637.4529620316	665.452192179	522.9166899354	553.8428246132
200765_x_at	2072.8215872137	1913.3310160636	1393.1760018041	1274.8601493687
200766_at	174.5034560974	172.6040265444	557.6178872189	535.4023824517
200767_s_at	131.8245662798	139.9781477006	176.2278540612	184.0887917088
200768_s_at	9592.9347270841	9101.9627721996	5743.1016760431	4736.6936838248
200769_s_at	206.646970662	228.1773216738	109.3631194023	117.9075693825
200770_s_at	248.733890166	229.1958492473	153.7855381683	129.6606238004
200771_at	461.0656201629	502.1372001499	216.493409784	222.2854824809
200772_x_at	17555.8982668583	15072.3584430028	10492.0962286486	8730.7993009614
200773_x_at	6550.3143831596	6012.7939713519	5305.2164774609	4451.4557680823
200774_at	2376.2295627143	2398.9827105047	3199.7634421524	2809.7498579288
200775_s_at	15223.7080242037	15134.8050481587	16736.8487450446	14979.3240927333
200776_s_at	482.5825542348	507.3231712108	546.9313486219	513.3304264664
200777_s_at	2890.8981559101	2803.6023755894	2465.5434922157	2137.948370718
200778_s_at	335.1149936519	347.0860951186	294.0149661603	333.6715819801
200779_at	12869.1315243457	12820.6512396926	9641.1833555459	8584.9680296607
200780_x_at	9892.3802097606	9563.9194122396	8572.4623970134	7689.5191420031
200781_s_at	25859.2102266575	25854.7733126079	24681.1083061662	23892.1469092191
200782_at	400.4837153547	429.0797435958	982.8034095964	924.4784511289
200783_s_at	2058.9980008356	2069.9799074165	505.8455512111	438.025238711
200784_s_at	73.0363238904	66.2679780066	233.7574199025	233.8894305536
200785_s_at	62.5455515438	62.1303797879	412.5008884293	474.7435195497
200786_at	7205.4339122467	7295.9101759634	4235.3812479484	3856.1982877223
200787_s_at	189.5421925644	196.762010718	169.039196713	197.2075427196
200788_s_at	793.1872992178	759.4050931453	935.4375601027	890.6336919141
200789_at	1941.7586070649	1885.0204439156	1120.3999140627	1088.0505826482
200790_at	1167.4749772297	1148.4472996116	485.8308660748	551.0626053014
200791_s_at	5323.7512756835	4646.6766979393	11697.7463185198	10899.8858407855
200792_at	6329.2686749089	5990.9804693449	3083.0507803137	2773.0652822176
200793_s_at	372.9583823716	366.503956214	283.3684512042	305.0102481181
200794_x_at	3686.8966805724	3223.9355755133	6362.7229348498	5859.2743923045
200795_at	31.1917309377	33.3022931591	19.8704557637	18.3757474649
200796_s_at	36.4588092072	51.7067289084	89.6512252046	88.4465721673
200797_s_at	3668.7346641599	3016.2540995405	7731.7279814102	6448.3678549977
200798_x_at	634.4085630627	671.3482022505	4242.0440633269	3748.0691773973
200799_at	3304.0056189416	3083.2627470149	8027.9507880667	6798.0653111308
200800_s_at	691.066209182	692.2466058388	2340.7248276429	2274.7140992521
200801_x_at	24138.2137091628	25479.4525274916	31563.6254604556	31668.8749370344
200802_at	1861.1962407799	1697.5498167267	1736.9160881322	1605.8238380984
200803_s_at	1422.3785886843	1211.0927770647	2862.5246648513	2505.4919877642
200804_at	4326.120985325	4536.6949387883	6306.9147616075	5526.8837397341
200805_at	2557.3190635057	2360.8604512744	2673.3155176034	2403.4921303993
200806_s_at	4697.2034410599	4417.4507040446	941.5398401182	944.9664096706
200807_s_at	6659.3841910736	6466.1344558648	1840.6865755469	1673.6800879366
200808_s_at	658.0296320024	639.4302348354	1971.8863161646	1839.5298480843
200809_x_at	18930.2666891259	18656.4841797041	14976.7493135244	13953.2767076175
200810_s_at	8786.909455369	8377.3175799909	7380.6486410656	6318.8889404087
200811_at	8597.4701573451	8534.9468342392	6653.4382737318	5794.7112748727
200812_at	2625.1583536264	2416.9603141287	944.5430465066	922.4782564276
200813_s_at	4385.0259484378	3836.8733509237	3962.2923449801	3332.0715835312
200814_at	6748.8001744968	6399.1848215415	5970.2742203584	5587.1829739846
200815_s_at	801.3802587783	797.3982352117	1286.3960333633	1198.8494808313
200816_s_at	1935.3540259657	1895.2635433553	2024.6966840266	1727.6826536319
200817_x_at	17189.4619414133	16777.1037045756	14745.4190321169	13651.7930791207
200818_at	7439.1857268266	6705.9505701297	4369.2864343672	3818.0855061804
200819_s_at	19428.9014759562	19150.6462118061	13515.6943070111	12480.5286767656
200820_at	2497.7437585607	2502.3105609397	1572.3669265705	1458.2940812364
200821_at	556.9327937662	571.0957448601	1029.008372211	1010.7497631945
200822_x_at	2335.2511454425	2106.0050123791	1953.0607921594	1740.8322986268
200823_x_at	19148.2686824915	19320.8247021227	13964.4200132858	13143.2604801664
200824_at	7235.5768685486	6725.7630568113	3796.0554911096	3552.3132369386
200825_s_at	534.4825246282	531.6668376299	365.0107430504	361.5077149285
200826_at	6081.7487546051	5470.1929638658	2986.8380876581	2427.3898624321
200827_at	260.647347926	271.3294136278	346.2618172609	346.9957970547
200828_s_at	2262.4408273285	2098.9937189075	1530.9706438177	1411.5728810163
200829_x_at	3091.1776143687	2867.2080340736	2046.0974610556	1771.7297453319
200830_at	2668.7795427761	2461.9990042764	1716.5537040146	1605.7502792398
200831_s_at	798.3551494336	773.8561711982	129.4958064723	139.6013657764
200832_s_at	1364.9659283143	1338.0528722057	347.8248463933	321.1911685918
200833_s_at	11458.5476312934	10981.4134285108	11377.9972489625	10223.9793233472
200834_s_at	12310.5929079143	11915.4874569233	7035.8594730721	5695.2054404224
200835_s_at	686.2080344067	714.5262200808	414.8772415573	454.013394117
200836_s_at	609.2474591755	596.9342261258	431.6218512442	424.8208074709
200837_at	1766.7785148136	1804.130600738	1616.3880285911	1526.963854152
200838_at	834.6223926312	741.2634189743	2857.8148139472	2586.2964140132
200839_s_at	2700.0553306268	2779.3330915385	7196.5848490576	6285.5925580967
200840_at	6616.1309635332	6459.6071624302	3958.4281482677	3243.0110139923
200841_s_at	152.858294144	179.8722936952	93.683097115	101.995682511
200842_s_at	1070.9073366542	983.8520279531	410.4774174955	399.8419418686
200843_s_at	2001.5889535605	1937.0987847855	891.4437515582	852.3325501876
200844_s_at	5709.1141071226	5354.5768127298	3731.4320230205	3265.23951418
200845_s_at	3265.3554890192	2953.4737047901	2248.4692384854	1861.0038987979
200846_s_at	3538.7145210679	3285.7569183771	4107.1326758438	3659.648042195
200847_s_at	4998.6722843526	4867.7005463699	7307.4316852516	6343.1253390442
200848_at	707.5019026131	730.1402369671	511.3217204225	545.6327753112
200849_s_at	1233.2049298561	1201.5286887208	865.000990187	800.3617553277
200850_s_at	2806.1046792445	2582.6524324477	2105.1946762966	1796.20462424
200851_s_at	1485.9057443528	1376.0562882939	1861.285793394	1616.1988546875
200852_x_at	233.2769129114	228.0505683748	463.2682977142	514.6462538299
200853_at	3753.8085762229	3298.9795194963	2812.07989018	2418.8600604031
