	GSM819140	GSM819141	GSM819142	GSM819152	GSM819153	GSM819154
10345492	2.497562658	2.642250824	2.497639848	2.715598322	2.715598322	2.377767169
10345504	10.07841047	9.959234671	10.08351447	10.0192384	9.964308055	10.0504366
10345509	2.467296263	2.515319379	2.869870619	2.594779027	2.645820778	2.418990962
10345529	2.279202718	2.406609069	2.240309245	2.153845266	2.500748133	2.61614374
10345546	1.936764646	1.938507671	2.023206668	2.19918381	1.939721529	2.01336723
10345558	2.172813906	2.187635756	2.086958577	2.011527954	2.086958577	1.925431672
10345571	2.247146786	2.337893692	2.397507375	3.019921502	3.049752314	2.557603716
10345580	2.812185603	2.710429018	2.517343462	2.710947308	2.569591263	2.317016507
10345608	9.155636644	8.829476632	8.402670699	8.607896919	8.177774441	7.42137561
10345616	3.08430269	3.814709661	3.751659386	3.402885344	3.46644228	2.820355051
10345620	8.027071743	7.726963658	7.577612072	7.755632393	7.695488779	6.846146254
10345626	3.625243147	4.185076879	3.993889308	4.724385263	4.185076879	3.773848245
10345656	2.148421113	2.033528359	2.076708271	1.94997072	1.972796287	2.763506858
10345666	5.92237309	6.516454956	6.153845277	6.50881926	6.175937236	6.196574103
10345675	2.051707884	1.771827595	2.054702194	2.139405347	2.001577967	2.181401727
10345698	10.64284875	10.71896849	10.56446645	10.35070233	10.40517728	10.36796251
10345706	4.10032372	4.123069001	4.777331353	4.418154886	3.782824984	3.737670742
10345715	2.045185944	2.124424249	2.028872234	2.188840786	2.296639331	2.001740629
10345752	2.500621661	2.394618065	2.41077176	2.930903552	2.588116078	2.32576659
10345762	2.361220255	2.179351842	1.941408877	2.360676295	2.198697351	2.02757041
10345777	2.238645074	2.482565718	2.18707794	2.120679024	2.117273827	2.064172558
10345791	2.139684936	2.335646973	2.300382113	2.118083348	2.045415551	2.328598384
10345807	1.78191034	1.680722406	1.831233591	1.848673873	2.05926268	1.861836808
10345824	2.195151573	2.121237488	2.101624109	2.178774616	2.076974525	1.943302437
10345840	2.670389876	2.291993915	2.746889385	2.535837316	2.543207398	2.892899606
10345855	2.239056161	2.123111429	2.085092705	2.347374092	2.40008959	2.347374092
10345869	2.954818471	3.031005305	3.534316045	3.821518069	2.617713745	3.52927589
10345877	2.173161584	1.927162622	2.245497002	2.198602604	2.284513972	1.989114909
10345879	2.5440502	2.525566276	2.858123296	2.822272354	3.049067896	2.584570541
10345882	7.057180233	6.841410655	7.261889191	6.91530471	6.726275553	5.995586649
10345895	2.248283014	2.362047486	2.671888446	2.053623745	2.471372305	2.157650069
10345902	2.288974671	1.960117089	2.256286918	2.351647835	2.364340309	2.539349749
10345904	4.368142369	4.28971221	4.979713965	4.43282781	4.640749124	4.138391662
10345909	9.718017397	9.907909338	9.733671831	9.568098924	9.561455466	9.451962224
10345913	2.79896507	3.085189901	2.942013317	2.556164438	2.841909293	2.866011376
10345921	2.195151573	2.286587957	2.555626197	2.727439471	2.228432982	2.49817864
10345930	2.99379842	3.694003143	3.050336113	2.442891917	3.374471023	2.774935639
10345967	2.700545345	2.999935396	2.565469285	2.507998347	2.298929039	2.544703089
10345981	3.214558551	4.216164811	3.740182873	3.800807933	3.945548088	3.921994184
10346000	1.720721089	1.680264595	1.65277094	1.688848537	1.580992011	1.736660919
10346015	3.649096901	3.300608934	3.479173506	3.799270572	3.881185296	3.690723336
10346069	3.190161585	2.249476038	2.566018307	2.993749183	2.097167979	2.370346851
10346074	4.242625889	4.145994365	4.129974843	5.368970695	4.472725117	4.209166786
10346105	9.637824504	9.814974982	9.7361346	9.434754778	9.546330793	9.676262272
10346107	2.630871383	2.297778495	2.134510931	1.968822543	2.136116935	2.926251124
10346137	2.786016822	3.002582274	3.021505964	2.838436739	2.943655915	2.954855623
10346141	2.08719435	3.047763269	2.185395663	1.867724186	1.759052977	1.952941978
10346146	2.374617465	2.568921799	2.434411473	2.76986066	2.579431732	2.447973552
10346150	2.218123973	2.646052819	2.312552012	3.157392204	2.695576829	2.989981517
10346164	2.485847507	2.744242044	2.380614345	2.646731927	2.444964816	2.134131495
10346168	2.020297743	2.009519654	1.827523753	2.084389925	2.032653785	2.362828307
10346191	2.57707091	2.458480076	2.54371653	3.620695769	3.798804061	2.985781617
10346224	2.54237351	2.190308913	2.601160268	2.69449093	2.382239551	3.616699175
10346235	3.878252165	4.774290925	4.847225052	4.230965064	4.619631098	4.239654453
10346250	2.617245067	3.142899818	2.562474702	2.31171495	2.80995046	2.620688789
10346255	3.666860451	4.327757937	4.253630484	5.265566286	5.687640332	4.912534884
10346260	5.526781558	5.999477753	6.02967942	5.72633567	5.731419167	5.343150345
10346269	2.201575662	2.2949247	2.563868239	2.251126699	2.153444614	2.375702154
10346298	5.646335701	6.099644632	6.479256035	5.432349456	5.953947801	4.546728837
10346303	9.512924453	9.356388298	9.837766646	9.101684645	9.024238488	8.954971351
10346310	7.337601484	6.919503188	7.065660586	7.166940131	6.816306849	5.902570176
10346321	2.32490133	3.774865105	4.033838603	2.43993161	2.956525171	4.555188451
10346323	2.878294693	3.149043303	2.789725357	2.610481459	3.235409544	2.750309446
10346330	3.374873146	3.98651528	3.538879422	3.45183344	3.40805187	3.236541131
10346337	3.899936048	4.109863002	4.508353217	4.05063706	4.359542867	4.725226295
10346340	6.137576095	5.854054927	5.323342835	5.448280856	5.558940379	3.818254443
10346348	2.497648024	2.986731502	2.665354576	2.58271089	3.162891832	2.999759555
10346365	2.477473943	2.311864914	2.410495706	2.389412709	2.821653151	2.128863397
10346374	2.247928261	2.246612702	2.297052112	2.20281211	2.261414604	2.337612722
10346410	2.341878427	2.152093744	2.099969587	2.159368789	2.111203585	2.144496648
10346448	2.345974363	2.187465562	2.407236242	2.347428945	2.265312989	2.443500947
10346485	2.0815504	2.345553237	2.291635745	2.202939851	2.126543179	2.545384597
10346523	5.825187241	5.966165504	5.494639753	6.457098389	6.279990633	5.938475807
10346533	4.615783051	5.473353861	5.416765168	6.182230759	6.977534326	5.96650303
10346544	7.372299872	6.93548034	7.126648859	7.035778455	6.885825117	6.643716711
10346549	6.067007202	5.656407083	5.704308447	6.007978679	6.279964404	6.13895386
10346551	2.078800438	2.004709078	1.901312833	2.520319683	2.439556006	2.129653589
10346564	1.906852502	1.772119523	2.021799387	2.021059055	1.823377282	2.231714119
10346576	2.810997901	2.914732482	3.083545793	2.901605143	2.790022613	2.836798717
10346592	2.750387527	2.488532356	2.735004999	2.500330322	2.665697322	2.689927209
10346594	2.499617821	2.513996525	2.499617821	2.499617821	2.26505434	2.198595294
10346607	2.637525702	2.333819689	2.31604648	2.742577747	2.287768799	2.323896946
10346611	2.039340148	2.082844033	1.93291549	2.223750053	2.21682758	2.323447329
10346634	3.001593067	3.308524157	3.589571672	4.075671678	3.843538612	3.489083099
10346651	2.860704199	2.874588617	2.804468681	3.211346431	3.080619582	2.839791096
10346668	2.690406785	3.115724901	2.710421331	2.986362019	2.636962382	2.864491775
10346678	2.013028143	2.246398814	1.999202903	2.55156999	2.428479752	2.265948103
10346695	1.958866625	2.989541295	2.40643585	2.558929639	2.294520259	2.621045292
10346747	2.048433865	1.866942514	2.205500625	2.379726166	2.293512702	2.797027603
10346764	3.48392341	2.82658049	2.981081648	2.715650904	2.840799036	2.740770513
10346780	6.327789432	6.362725869	6.295503829	6.060835754	6.146348016	5.209731322
10346783	2.002145082	1.825136576	1.865514297	1.949701852	1.751152514	1.876462867
10346790	2.576107966	2.364932641	2.305682229	2.266025266	2.363281313	3.044179235
10346799	2.328194822	2.40404565	2.333021534	2.606910289	2.597721042	3.382646546
10346808	7.377946972	7.261554122	7.441590953	7.489010781	7.593965562	8.122070944
10346810	2.481654304	2.628108826	2.354860451	2.690547022	3.207550049	2.535067209
10346840	4.025218325	4.154326104	4.091685733	4.101582616	3.861327816	4.723005075
10346843	2.514545728	2.359471114	2.517272866	2.595715733	2.44278875	2.536670284
10346867	8.681489382	8.556910365	8.426159418	8.294342939	7.97811512	7.439495009
10346878	2.011841008	2.131516568	2.05970914	2.172385438	2.057268774	2.143911681
10346882	2.789974743	3.050231954	2.750099514	2.077650682	2.254687354	2.870141848
10346914	5.466595373	5.041686592	5.866144048	5.593864774	4.927658828	5.619945489
10346938	1.813626623	1.813117472	1.816111782	1.679794944	1.958324012	1.904143124
10346943	4.426951261	4.325938916	4.252503834	4.841625824	4.175968203	4.586643162
10346960	1.969915654	2.033007133	1.722432684	1.834932944	1.978669761	1.980705769
10346970	2.518858056	2.666711903	2.932721602	2.620798177	2.727878368	2.786597848
10347018	2.367242541	2.041977317	2.08829053	2.114457922	2.221937447	2.312363178
10347033	2.267135556	2.104494759	2.170789626	2.160039617	2.413800127	2.135986346
10347036	3.284578964	3.355487233	3.26987242	3.755856845	4.407681038	3.402247728
10347060	2.844057357	3.177622895	2.617727553	2.970799244	3.048115259	3.139991831
10347073	3.074665939	2.918703661	3.01538391	3.439909508	3.271884442	2.942897353
10347106	4.543417898	4.850278826	4.360683661	4.792776645	4.661169449	4.695266498
10347117	2.235637078	2.240477523	2.299749665	2.013351446	2.405359343	2.299140182
10347163	1.915692042	1.997294346	1.924709617	2.092540139	1.833916994	2.063759857
10347188	2.46568813	2.613076936	2.204194597	2.351925302	2.790052399	2.525764659
10347193	2.513364909	2.662234352	2.456848864	2.260948457	2.773764893	2.541512435
10347210	2.483244479	2.533205035	2.511273875	2.639211561	2.330728157	2.60355797
10347216	8.773188237	8.798896974	8.793442865	8.754005609	8.69703835	8.807742888
10347226	3.050790921	3.267163047	3.323517641	2.632355539	2.845440245	2.68437048
10347232	4.63712072	4.05520165	4.137105124	5.055777925	4.282562224	4.35428712
10347254	5.765176995	5.33661428	5.904125114	6.051820586	5.453861304	5.215667242
10347273	10.14139712	9.97616322	9.834497555	9.774580931	9.507020829	9.857548228
10347277	3.975018396	2.999687479	3.075374458	4.265415513	3.377448972	3.480509957
10347282	2.59262085	2.074526764	2.857277161	2.461209276	2.218132806	2.585084818
10347291	2.355963055	2.207767134	2.224339272	2.688204932	3.397823256	3.323615429
10347297	8.34917066	8.275074136	8.429629646	8.413806772	8.14876639	7.129149279
10347307	4.08048733	3.605461076	3.941195035	3.79638244	4.361636573	4.280262982
10347310	3.265293448	3.232924449	3.499512339	3.497071995	3.231469702	3.365663485
10347324	2.153360033	2.00139735	2.264063147	2.233146338	2.167606526	2.381724824
10347335	2.522802056	2.567638719	2.598133764	2.396603805	2.571897085	2.71877587
10347351	2.80456458	2.415129067	2.230818327	2.873234817	2.609948605	2.569245161
10347364	2.432412183	2.374989426	2.292280633	2.016002584	1.941190308	2.343068354
10347386	4.268455714	5.228119454	3.998921359	3.576015783	3.634135238	3.213177954
10347398	2.314922499	2.319804016	2.48590805	2.314120997	2.283460626	2.421519312
10347417	5.76001169	5.789799399	5.666025395	4.16266459	6.460655681	3.987842698
10347427	3.162321468	3.262289702	3.093248414	3.03804992	3.01664697	3.068143645
10347460	2.908717714	2.531293905	2.392057016	3.302436147	2.691215968	2.599107619
10347481	2.285246249	2.122553579	2.27349103	2.410473801	2.576001195	2.597685185
10347491	3.114417113	2.779796175	3.024173217	2.989671373	3.255413145	3.114417113
10347497	3.546589846	3.755624798	4.013708785	4.01702538	3.726912228	3.612007652
10347503	3.438606265	3.360953955	3.578701249	3.168723288	3.495549981	3.615687768
10347508	4.201636294	4.307829756	4.522959316	4.433065391	4.191075599	3.688357727
10347521	6.34180549	5.312521364	5.765307315	5.56566673	4.656166713	5.240430054
10347531	4.619226578	4.17062286	5.013917945	4.565829181	4.139069597	4.115751849
10347552	6.777368035	7.197290964	7.145130117	6.456096948	6.423362046	5.479280756
10347564	2.92910642	3.008433635	2.958602602	3.274848103	3.407095246	2.69610646
10347583	2.211191338	2.223581497	2.060888827	2.188067356	2.424882445	2.291041776
10347593	2.923769077	2.982377357	2.927448639	2.936360854	2.818599375	2.989441962
10347639	4.947207777	4.625022713	4.809776265	3.610159809	3.634509302	3.64280371
10347650	3.539653784	3.169149345	3.421872617	3.739258866	3.328091998	3.503413646
10347662	2.180624038	2.722365588	2.630724038	2.337528173	2.282760423	2.853161155
10347669	4.5085776	5.22635903	5.257571176	4.607946325	4.399526044	4.794562162
10347672	2.667643373	2.603413209	2.6610063	2.550876161	2.376203711	2.492091236
10347697	4.411975297	4.433039578	4.841116922	3.969275488	4.210656279	3.772129826
10347726	2.530246065	2.732398047	2.563203336	2.550863569	2.620876445	2.547824613
10347728	4.751769371	4.444318831	5.28134937	4.596180462	5.382687622	6.447872859
10347734	2.883347431	2.747260149	3.049148975	3.489620451	2.816143412	2.490020731
10347741	2.971357143	3.558813118	3.214390796	9.267641581	9.606749598	7.844998874
10347748	3.204066941	3.366440152	3.241082268	4.050330172	4.076688866	3.301155802
10347767	2.730817151	1.962740494	2.35567569	2.424839984	2.458614742	2.640357185
10347772	1.823741155	1.877227774	1.852677644	1.88760656	1.837177973	2.104756307
10347774	5.765407483	6.727425038	6.795509582	6.81634683	6.701182313	6.899793164
10347779	2.122301969	1.806215979	1.717676985	1.78187283	1.83709412	1.973992826
10347781	2.046217123	2.205316251	2.316044548	2.210572254	2.264460523	2.267423607
10347792	4.932549701	4.188146411	4.421142972	4.254923572	3.41598422	4.276533113
10347796	2.740059788	2.885832203	2.879591419	2.914736168	2.81667409	2.602395462
10347807	3.099231521	3.106464319	3.086602403	3.256898951	3.082754934	2.977642313
10347862	6.391495889	5.795947573	5.688328055	5.014570122	5.354466778	4.73150752
10347873	5.134687072	4.972953149	4.026735421	5.044987191	3.780243584	3.293110635
10347888	2.662831334	2.650421798	2.616664448	2.503850324	2.414560766	3.176023661
10347895	1.673738122	1.776117586	1.66019899	1.729775323	1.840339756	1.746534594
10347910	3.640895255	4.476146931	3.861522819	3.817461344	3.486064384	4.470182219
10347915	4.295810804	4.034586492	4.257845945	5.560706889	4.74817283	3.410468966
10347917	8.642598805	8.754701875	8.713575105	8.830990335	8.721833449	8.368184909
10347919	4.795654942	5.390162603	4.508621844	6.63934149	5.679797905	6.782926491
10347925	3.831814593	3.664706562	3.843282393	4.952784018	4.277503103	2.999918929
10347928	2.089002265	1.937821905	2.360229353	2.079662138	1.899615683	2.288659175
10347931	2.897402929	3.039776692	2.538471076	3.160154455	2.58431938	3.067029344
10347933	3.785531277	4.014235731	4.225386009	3.765837901	3.773549675	4.531596884
10347948	2.051727277	2.119488136	1.925373127	2.102470588	2.125715569	2.445806738
10347970	2.943022995	3.0233486	2.704222963	2.98593907	2.954834535	2.920132205
10347980	7.746613334	6.608001458	6.976622093	5.136173354	4.562629553	5.392482123
10347988	2.477714735	2.498443319	2.525764112	2.645306411	2.716401792	3.664279552
10347992	1.850965715	2.00287673	1.843427037	1.768010535	1.666639547	1.998440122
10348000	4.133961749	4.419642935	4.501768675	2.903730789	3.43342121	3.364282448
10348004	6.795249155	6.70177489	6.070287934	6.789389412	6.287862072	6.312346304
10348032	3.801663706	4.072872479	4.180133401	5.227817538	5.419600128	4.506646748
10348062	3.569581151	3.486041272	3.644638527	3.280069447	3.43189584	3.644638527
10348070	5.330170366	3.860871023	4.408755194	5.541714327	4.542957692	4.366376003
10348072	3.637053059	3.683692764	3.403488908	3.28337558	3.480692026	3.820061456
10348074	3.175891323	3.433283812	3.4800921	3.307778238	3.031747562	3.409247635
10348076	3.425107241	3.546187035	3.34106893	3.065561177	3.798585519	3.572857703
10348078	8.432520301	8.090360727	7.980271107	8.409769544	8.356742066	8.532984287
10348087	2.77201443	3.121692921	3.322328474	2.841688216	3.150668414	3.202483063
10348096	2.859359897	2.224877665	2.398767859	2.186511027	2.393166737	2.182188504
10348131	2.990935776	2.991129607	2.872282514	2.944069613	2.651504674	2.827559716
10348144	2.838046093	2.624466681	2.716649578	3.165207546	2.714924296	2.42516518
10348150	2.703218441	2.518298605	2.683401097	2.379140332	2.579421715	2.518298605
10348166	2.802111695	2.680539675	2.884120067	2.693897107	2.877945671	3.146015459
10348180	4.97217817	5.15819136	4.828977293	5.775566219	4.823846928	4.979517842
10348194	2.401859899	2.211782132	2.105379522	2.153690087	2.053902385	2.765275368
10348201	3.061796818	2.964620348	2.913024479	3.463008889	2.828991346	3.201153852
10348234	2.78266804	2.165261433	2.418750058	2.595859641	2.649921177	2.515605127
10348240	2.285246249	2.312261159	2.253133802	2.275236567	2.198595294	2.459085606
10348244	2.71806539	2.660197253	2.612005075	2.637390074	2.593173241	2.89032364
10348277	4.508308875	4.872878663	4.342350071	3.900231331	3.819153255	3.025234189
10348299	2.397810936	5.567541462	3.886460738	5.27803151	6.299370109	4.804625199
10348301	8.103681728	8.865658932	7.695189718	11.06374641	11.01719193	10.94717511
10348321	2.83161653	3.309581938	3.117240147	3.68450676	4.436197158	3.326474398
10348354	2.610845849	2.631771065	2.547695861	2.647477053	2.721803366	2.94873314
10348376	2.534623577	2.291000167	2.476377821	2.649111873	2.456588328	2.12860559
10348378	2.244476222	2.152093744	2.136861827	2.40744062	2.091981267	2.332074474
10348410	1.895746808	1.907820057	1.859280783	1.805843898	2.130978925	2.138438649
10348424	4.316725411	4.104690773	4.627044364	4.104690773	3.964922722	3.783840374
10348432	2.488270552	2.809191532	2.55112064	2.76579578	3.253185383	2.889227034
10348451	3.772221808	4.111987756	2.864638997	2.915829609	2.595076428	3.679969269
10348456	6.466936921	5.843759032	5.728049418	5.332936816	5.125052516	4.833558629
10348468	2.542901296	3.188310484	2.857167976	2.212166784	2.381482959	2.392670022
10348471	3.416272176	3.039128486	3.53259008	3.497836496	3.357041333	3.749669856
10348489	3.890183687	4.118435424	4.036582461	4.261837072	4.267491189	4.563003669
10348493	3.48770634	3.422993141	3.490027543	3.04006279	3.107572518	2.831686025
10348521	2.171046567	2.28299055	1.928260127	2.302387008	2.233126915	2.247950396
10348537	2.645398636	2.673016195	2.760063435	2.576560366	2.715384746	3.835019579
10348547	3.885837158	4.388597266	4.347720125	4.319583414	4.180680214	4.043087775
10348556	1.741711265	1.929848755	1.833557017	1.523457486	1.736178244	1.730592128
10348558	2.852736868	2.719682381	3.333712197	2.747072194	2.865680082	2.928316824
10348570	3.798588732	3.248390964	4.046885874	4.108418484	3.527520244	3.89412489
10348580	2.597174095	2.597174095	2.457499895	2.995382462	2.746704909	2.698674674
10348590	2.732116807	2.860218279	2.799200591	2.885720204	2.983654582	2.714325647
10348600	2.780344569	2.876852308	2.867468433	2.904738059	3.300068526	2.953918889
10348618	4.326888961	3.715459045	3.955723675	4.035224433	3.847558966	3.610412659
10348632	2.534020487	2.753452943	3.099896462	2.658626898	2.742883707	3.057709626
10348635	2.925520594	3.056917569	2.990563558	3.104149652	3.141117249	3.087440028
10348637	2.386226907	2.795363346	2.25361159	2.50132977	2.676689033	3.141941008
10348639	2.603269937	2.603269937	2.556320003	2.62825402	2.802610412	2.799243823
10348641	3.56534938	3.792285913	3.755838978	3.727494459	3.800551809	3.414269376
10348643	2.615853342	2.851904933	2.898216753	2.63091254	2.194233437	2.589237844
10348645	2.96854346	2.755749561	2.861063511	2.914529045	3.077495823	3.228953423
10348653	3.014466396	2.610330899	2.727650389	3.115396945	2.601982436	2.638814111
10348666	4.305857007	4.536825029	4.260178655	4.134427351	3.521576684	3.880821068
10348670	2.449532635	2.753528683	2.500999728	2.407145541	2.547329183	2.615035401
10348682	3.604500905	4.981124722	3.790082444	4.462922405	3.287868684	3.53291788
10348697	3.159395759	3.230629975	3.07354637	2.543742305	2.726230292	3.546035966
10348702	2.175111806	1.95808976	2.23099182	2.015034664	2.190476723	2.014953301
10348713	2.427741434	2.160861893	2.641621873	2.606377876	2.463411343	2.795877784
10348739	2.750993522	2.82727894	2.823451001	2.753646887	2.626539577	3.197170886
10348775	6.811011805	5.887645798	5.880001209	5.370937202	5.479173159	4.899263169
10348791	2.236130794	2.644399368	2.503048931	2.732466614	2.305130397	2.499469729
10348817	1.896181343	2.108632073	1.92834511	1.874389191	1.832793207	1.847951542
10348829	3.009574009	2.647640504	3.269919065	3.391296551	3.097218016	2.831838225
10348858	5.790228024	5.936945386	5.611964918	5.517931423	4.105810095	5.457787289
10348866	3.776925208	5.572843542	4.230702508	4.904267887	4.460100201	4.230702508
10348879	3.050349432	2.895896636	2.896370047	3.184681121	2.986128408	2.640197292
10348889	4.527590235	4.58618354	4.806753488	4.166389543	4.578212189	4.656781646
10348896	2.075481927	2.115564225	2.022843282	2.10802954	2.078709349	2.146846617
10348906	3.162649546	2.587178385	2.513163641	2.115948014	3.552841282	2.239721479
10348910	2.972574678	2.76615212	3.103893171	2.958918531	2.926260507	2.993749976
10348917	6.852347284	6.873395772	6.852570164	6.244505466	6.626543737	6.542854842
10348924	10.56145205	10.77256663	10.67514722	10.48362223	10.64181183	10.6606595
10348929	6.565619216	7.058718595	6.913445429	8.180918664	7.725767222	6.868959622
10348932	4.222660497	5.310371665	5.397915249	4.779626395	5.390938594	5.056455113
10348947	1.881348323	2.059324598	1.671136772	1.760595438	2.13684187	1.874250157
10348963	2.025130706	2.101233625	2.046695313	1.953265742	1.956763984	1.931702833
10348999	2.526907625	2.811900347	2.577638076	2.701729517	2.648181604	2.729042976
10349014	4.56889049	4.919869479	4.810325494	4.894410577	5.032540759	4.66508403
10349016	2.732788444	2.826146816	3.061580967	2.935721059	2.794453841	3.217925873
10349049	7.551502724	6.682879292	6.177388015	7.421088607	6.403865205	5.650565117
10349051	3.446124641	3.321581272	3.198701091	3.278097743	3.505486738	3.568266728
10349065	2.067490014	2.361127007	2.339374565	2.051955017	1.998352353	2.132314446
10349081	2.034607918	2.523012578	2.278625581	1.920042491	2.155248028	2.137340197
10349100	4.346140566	4.791822649	5.146576942	5.275076898	5.339881077	5.80507097
10349102	2.553593013	2.14036673	2.334023158	2.5416465	2.381604532	2.645396946
10349108	1.886710284	2.064574638	1.817067433	1.893499867	1.794316918	1.848641384
