	Blood	Breast
1007_s_at	271.3177482	1990.38510766667
1053_at	133.165397966667	244.8966337
117_at	1223.768556	154.0460099
121_at	352.925946833333	290.0369131
1255_g_at	14.4962294666667	13.6031604466667
1294_at	231.630320466667	177.0677462
1316_at	101.96845522	87.75889288
1320_at	68.1176296566667	61.3004721366667
1405_i_at	2836.16237333333	199.087520433333
1431_at	13.41517513	12.7809298466667
1438_at	83.5119269733333	140.372713266667
1487_at	160.465862766667	167.7731778
1494_f_at	56.6318910233333	60.6319375466667
1552256_a_at	90.0012747166667	397.7944392
1552257_a_at	120.667992966667	670.859992766667
1552258_at	60.3354833733333	51.7024314166667
1552261_at	69.0340664466667	61.1206773833333
1552263_at	369.0991413	54.87111422
1552264_a_at	742.977479733333	110.057238666667
1552266_at	25.89998634	32.1756912
1552269_at	16.6926147033333	17.7997568
1552271_at	81.4687530466667	69.9567770366667
1552272_a_at	104.765852513333	114.6038737
1552274_at	247.122655133333	54.7895251133333
1552275_s_at	221.189483333333	71.8556556633333
1552276_a_at	73.16901844	55.7918705533333
1552277_a_at	94.70769407	229.428325033333
1552278_a_at	28.3188663066667	42.8315664066667
1552279_a_at	112.780815266667	148.5871038
1552280_at	22.41264622	15.53919816
1552281_at	286.387011633333	184.1574539
1552283_s_at	56.6157209633333	179.6659221
1552286_at	127.304792666667	141.539681066667
1552287_s_at	74.4563427133333	126.937627933333
1552288_at	45.87960584	26.1414169766667
1552289_a_at	51.9708671966667	68.2335953366667
1552291_at	126.751514433333	207.796002733333
1552293_at	67.58258669	46.3670850733333
1552295_a_at	191.266422766667	249.576188733333
1552296_at	18.0205150033333	18.78271568
1552299_at	25.6263809166667	41.51828589
1552301_a_at	62.89842972	142.007240166667
1552302_at	50.8695218233333	38.5793714733333
1552303_a_at	102.988918533333	63.21822718
1552304_at	46.45543306	25.9709196
1552306_at	15.6268043333333	23.2340089166667
1552307_a_at	93.8101523966667	102.998542726667
1552309_a_at	44.21587271	57.0160505733333
1552310_at	71.32051718	93.6980102366667
1552311_a_at	144.344428466667	125.690993766667
1552312_a_at	51.73772615	75.6097916333333
1552314_a_at	29.0476329433333	26.5015615133333
1552315_at	413.586584233333	61.9140918766667
1552316_a_at	325.8893215	37.1295251
1552318_at	497.525982533333	27.1589679633333
1552319_a_at	67.0940810366667	43.39136555
1552320_a_at	14.0487055166667	9.958102185
1552321_a_at	22.0152810033333	15.06931063
1552322_at	9.48900043933333	8.306091409
1552323_s_at	26.7198738333333	26.3091685433333
1552325_at	23.340061	17.7204085566667
1552326_a_at	36.8847902933333	80.2465095733333
1552327_at	16.4725628366667	21.1751956533333
1552329_at	28.84267906	97.2030883633333
1552330_at	40.02888292	61.1848219433333
1552332_at	197.409554166667	147.368464966667
1552334_at	104.360903006667	47.1926938533333
1552335_at	123.851131966667	82.32646016
1552337_s_at	37.5313335633333	34.8709558666667
1552338_at	34.2196108066667	23.9444060733333
1552340_at	30.50138925	20.62426755
1552343_s_at	86.9925674233333	64.8867908233333
1552344_s_at	54.32641188	61.2758073066667
1552347_at	173.534126733333	297.631304266667
1552348_at	605.946400533333	91.7458862766667
1552349_a_at	86.73530565	30.12610311
1552354_at	36.3829518566667	27.4239374333333
1552355_s_at	79.97925394	60.7770816633333
1552359_at	9.32529748	10.5641197833333
1552360_a_at	45.54825437	50.09562774
1552362_a_at	68.9320094333333	80.8405369933333
1552364_s_at	50.3691833933333	92.45467893
1552365_at	10.9236579456667	50.0104261366667
1552367_a_at	24.0469908733333	36.7891672133333
1552368_at	12.5159648266667	13.3317589166667
1552370_at	33.42384489	80.37709603
1552372_at	7.694476544	7.522258016
1552373_s_at	11.144853866	8.340188255
1552375_at	45.2026457633333	43.38946644
1552377_s_at	193.405603533333	158.622028
1552378_s_at	24.88272431	51.60267025
1552379_at	7.67724925266667	6.64633936866667
1552381_at	12.6664482866667	9.65397443
1552383_at	225.276998033333	153.1478584
1552384_a_at	41.63904338	33.4225591966667
1552386_at	480.326889133333	35.9225415
1552388_at	80.4925177666667	85.5423452166667
1552389_at	26.8471927133333	15.9520460933333
1552390_a_at	8.68399920833333	7.51230192466667
1552391_at	44.3935597533333	35.35974678
1552393_at	8.93876292533333	8.263318609
1552394_a_at	11.73162254	11.15068289
1552395_at	207.786265966667	164.812143366667
1552396_at	28.00357434	26.4167450566667
1552398_a_at	983.9869126	30.0501866133333
1552399_a_at	36.5990478066667	26.3655191766667
1552400_a_at	81.85495248	83.65410003
1552401_a_at	25.88667139	26.2279600033333
1552402_at	78.509589	48.8855336666667
1552405_at	32.7054463366667	34.72983639
1552408_at	16.4648456266667	14.08749663
1552409_a_at	118.8776328	80.1140944633333
1552410_at	58.7071456133333	39.8879663
1552411_at	202.382370333333	180.080740566667
1552412_a_at	24.8984075066667	21.70499278
1552414_at	60.77230517	51.5969769966667
1552415_a_at	36.04111986	24.41410662
1552417_a_at	28.4227363866667	43.39941408
1552418_at	38.5853692133333	32.6304035
1552419_s_at	95.0479194166667	89.1629462766667
1552421_a_at	29.10925895	21.6440429866667
1552422_at	63.28085718	60.34333432
1552423_at	94.1485472633333	37.672505
1552424_at	16.8851862	11.4898282283333
1552425_a_at	46.0395508766667	39.13276452
1552426_a_at	402.955310533333	450.628012333333
1552427_at	10.6288659333333	22.98365672
1552430_at	10.46341165	11.019065317
1552432_at	82.7939567566667	64.43980171
1552436_a_at	24.2324979666667	18.1846380533333
1552438_a_at	28.7624108	28.5004551366667
1552439_s_at	9.19734486133333	8.024913083
1552440_at	81.6859315166667	45.9663781133333
1552445_a_at	27.0734426233333	26.83489731
1552448_a_at	15.9969763533333	13.70733852
1552449_a_at	42.2068290433333	21.8792206766667
1552450_a_at	42.8761404066667	41.6348697733333
1552452_at	21.5739177333333	18.2354447766667
1552453_a_at	26.6414146233333	22.13594543
1552455_at	12.42357579	11.26128476
1552456_a_at	62.2709481233333	50.6136830366667
1552457_a_at	16.0322939633333	14.74314323
1552458_at	16.2778439766667	12.02883749
1552459_a_at	55.1425573466667	39.3952129733333
1552461_at	8.74856958	8.50490486966667
1552463_at	11.6191285866667	9.70230599
1552466_x_at	13.4285031733333	11.4173465166667
1552467_at	171.187619666667	123.693684533333
1552468_a_at	55.93285443	48.9576990466667
1552470_a_at	15.9983488266667	32.85308123
1552472_a_at	166.2201368	74.87985534
1552473_at	312.071539966667	143.8111136
1552474_a_at	242.971063866667	359.974962966667
1552476_s_at	76.4980600933333	104.32820202
1552477_a_at	17.8184606033333	218.259574533333
1552478_a_at	25.06663889	69.55173236
1552480_s_at	49.5868306233333	9.78841249733333
1552481_s_at	46.26398167	41.32320424
1552482_at	24.2052762233333	25.97038088
1552484_at	96.9502514766667	62.7127569333333
1552485_at	32.4859154033333	67.80740999
1552486_s_at	48.47178505	56.4562263033333
1552487_a_at	7.27610187933333	8.07569889533333
1552489_s_at	11.66368058	10.9134116166667
1552490_at	17.8486411266667	19.7758201833333
1552491_at	82.5487515233333	60.9104373066667
1552493_s_at	43.3808734733333	40.7238964066667
1552494_at	37.0547144266667	26.7529167966667
1552496_a_at	32.4389135166667	46.1680043633333
1552497_a_at	503.435998533333	136.5183873
1552498_at	42.5996168566667	32.58769837
1552499_a_at	25.3625903266667	24.55363855
1552501_a_at	217.7582713	64.61000765
1552502_s_at	14.5082272	23.50439656
1552503_at	61.31198987	49.5890934
1552504_a_at	150.8763805	97.7434987966667
